experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
Mu07-01,1,1,80,27.85,0.00555,307,0.983,0.5062,,
Mu07-01,1,2,160,57.4,0.00162,735,0.816,0.8847,,
Mu07-01,1,3,240,191.1,0.0018,282,0.815,0.4794,,
Mu07-01,1,4,320,219.15,0.00815,491,0.996,0.761,,
Mu07-01,1,5,400,218.15,0.00295,875,0.869,0.623,,
Mu07-01,1,6,480,263.6,0.0018,282,0.815,0.4794,,
Mu07-01,1,7,560,306.6,0.00329,812,0.887,0.953,,
Mu07-01,1,8,640,303.5,0.00341,857,0.808,0.9381,,
Mu07-01,1,9,720,500,0.0029,36,0.981,0.8876,,
Mu07-01,1,,,,,,,,720,376
Mu07-01,2,1,80,12.6,0.00882,196,0.837,0.83,,
Mu07-01,2,2,160,38.75,0.00621,691,0.855,0.8695,,
Mu07-01,2,3,240,500,0.00638,901,0.874,0.7031,,
Mu07-01,2,,,,,,,,240,48
Mu07-01,3,1,80,36.8,0.00885,93,0.928,0.3465,,
Mu07-01,3,2,160,28.45,0.00507,417,0.948,0.8613,,
Mu07-01,3,3,240,288.9,0.00484,961,0.959,0.7755,,
Mu07-01,3,4,320,481.05,0.00484,961,0.959,0.7755,,
Mu07-01,3,5,400,500,0.00011,943,0.81,0.8711,,
Mu07-01,3,,,,,,,,400,115
Mu07-01,4,1,80,18.65,0.00134,569,0.854,0.3361,,
Mu07-01,4,2,160,19.4,0.0009,847,0.845,0.6884,,
Mu07-01,4,3,240,205.05,0.0009,847,0.845,0.6884,,
Mu07-01,4,4,320,124.1,0.0009,847,0.845,0.6884,,
Mu07-01,4,5,400,216,0.0009,847,0.845,0.6884,,
Mu07-01,4,6,480,209.7,0.0093,47,0.965,0.6349,,
Mu07-01,4,7,560,184.75,0.00187,35,0.902,0.8471,,
Mu07-01,4,8,640,500,0.0095,762,0.984,0.493,,
Mu07-01,4,,,,,,,,640,309
Mu07-01,5,1,80,21.95,0.0094,650,0.82,0.8951,,
Mu07-01,5,2,160,44.9,0.00133,337,0.959,0.0927,,
Mu07-01,5,3,240,500,0.0094,650,0.82,0.8951,,
Mu07-01,5,,,,,,,,240,66
Mu07-01,6,1,80,14.75,0.00393,580,0.852,0.8792,,
Mu07-01,6,2,160,20.7,0.00393,580,0.852,0.8792,,
