experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
mu09_01,1,1,80,27.4,0.00117,635,0.973,0.7733,,
mu09_01,1,2,160,11.4,0.00976,41,0.876,0.8455,,
mu09_01,1,3,240,32.3,0.00495,893,0.984,0.8434,,
mu09_01,1,4,320,116.6,0.0078,918,0.928,0.7836,,
mu09_01,1,5,400,500,0.00908,890,0.84,0.3667,,
mu09_01,1,,,,,,,,400,185
mu09_01,2,1,80,18.4,0.00472,435,0.851,0.7485,,
mu09_01,2,2,160,16.8,0.00472,435,0.851,0.7485,,
mu09_01,2,3,240,200.3,0.00347,1009,0.816,0.2581,,
mu09_01,2,4,320,276.2,0.00024,476,0.832,0.6811,,
mu09_01,2,5,400,235.6,0.00024,476,0.832,0.6811,,
mu09_01,2,6,480,263.1,0.00024,476,0.832,0.6811,,
mu09_01,2,7,560,318.5,0.00024,476,0.832,0.6811,,
mu09_01,2,8,640,299,0.00024,476,0.832,0.6811,,
mu09_01,2,9,720,433.2,0.00011,948,0.939,0.7343,,
mu09_01,2,10,800,500,0.00011,948,0.939,0.7343,,
mu09_01,2,,,,,,,,800,629
mu09_01,3,1,80,13.6,0.00142,933,0.954,0.955,,
mu09_01,3,2,160,15.5,0.00142,933,0.954,0.955,,
mu09_01,3,3,240,194,0.00142,933,0.954,0.955,,
mu09_01,3,4,320,226.7,0.00142,933,0.954,0.955,,
mu09_01,3,5,400,349.9,0.00142,933,0.954,0.955,,
mu09_01,3,6,480,330,0.00217,386,0.812,0.9732,,
mu09_01,3,7,560,391.3,0.00821,208,0.802,0.7945,,
mu09_01,3,8,640,432.9,0.0024,56,0.866,0.9998,,
mu09_01,3,9,720,357.1,0.00115,850,0.922,0.9833,,
mu09_01,3,10,800,500,0.00766,684,0.898,0.8739,,
mu09_01,3,,,,,,,,800,745
mu09_01,4,1,80,15.6,0.00824,839,0.897,0.4833,,
mu09_01,4,2,160,11,0.00714,597,0.834,0.6516,,
mu09_01,4,3,240,200.9,0.00714,597,0.834,0.6516,,
mu09_01,4,4,320,213.9,0.00788,642,0.996,0.1701,,
mu09_01,4,5,400,500,0.00102,783,0.994,0.7016,,
mu09_01,4,,,,,,,,400,321
mu09_01,5,1,80,10.7,0.00697,680,0.843,0.8084,,
mu09_01,5,2,160,13.5,0.00457,509,0.837,0.2212,,
mu09_01,5,3,240,111.9,0.00697,680,0.843,0.8084,,
mu09_01,5,4,320,265.3,0.00121,495,0.966,0.7611,,
mu09_01,5,5,400,478.2,0.00234,724,0.996,0.1875,,
mu09_01,5,6,480,284.6,0.00594,711,0.956,0.7646,,
mu09_01,5,7,560,351.7,0.00131,982,0.923,0.1051,,
mu09_01,5,8,640,500,0.00594,711,0.956,0.7646,,
mu09_01,5,,,,,,,,640,654
mu09_01,6,1,80,20.5,0.00953,156,0.975,0.6388,,
mu09_01,6,2,160,28.2,0.00363,1023,0.976,0.299,,
mu09_01,6,3,240,370.2,0.00092,797,0.982,0.6502,,
mu09_01,6,4,320,113.3,0.01,927,0.809,0.2292,,
mu09_01,6,5,400,271.5,0.00631,236,0.963,0.9074,,
mu09_01,6,6,480,371.7,0.00132,305,0.992,0.9744,,
mu09_01,6,7,560,240.5,0.00942,1023,0.917,0.4368,,
mu09_01,6,8,640,452.9,0.00371,411,0.995,0.6572,,
mu09_01,6,9,720,500,0.00179,825,0.965,0.6058,,
mu09_01,6,,,,,,,,720,617
mu09_01,7,1,80,20.9,0.00596,1023,0.801,0.391,,
mu09_01,7,2,160,41.1,0.00805,1023,0.831,0.4857,,
mu09_01,7,3,240,349.5,0.00128,589,0.996,0.9067,,
mu09_01,7,4,320,210.4,0.00098,527,0.939,0.8742,,
mu09_01,7,5,400,287.5,0.00301,982,0.846,0.8317,,
mu09_01,7,6,480,171.5,0.00119,884,0.83,0.8103,,
mu09_01,7,7,560,213.4,0.00821,988,0.899,0.6851,,
mu09_01,7,8,640,216,0.01,981,0.811,0.644,,
mu09_01,7,9,720,279.5,0.00335,563,0.964,0.9489,,
mu09_01,7,10,800,199,0.00335,563,0.964,0.9489,,
mu09_01,7,11,880,348.8,0.0023,865,0.997,0.0659,,
mu09_01,7,12,960,161.6,0.0013,564,0.945,0.8779,,
mu09_01,7,13,1040,210.1,0.00054,971,0.951,0.7378,,
mu09_01,7,14,1120,335.8,0.00388,898,0.947,0.8038,,
mu09_01,7,15,1200,187.6,0.00733,1023,0.951,0.7333,,
mu09_01,7,16,1280,149.5,0.00996,16,0.829,0.8629,,
mu09_01,7,17,1360,200.6,0.00983,385,0.992,0.1254,,
mu09_01,7,18,1440,407,0.00907,418,0.976,0.8533,,
mu09_01,7,19,1520,500,0.00827,801,0.998,0.6877,,
mu09_01,7,,,,,,,,1520,1173
mu09_01,8,1,80,12.8,0.00246,720,0.87,0.1015,,
mu09_01,8,2,160,21.9,0.00309,1023,0.964,0.6294,,
mu09_01,8,3,240,83.7,0.00292,573,0.871,0.0394,,
mu09_01,8,4,320,126.2,0.00498,744,0.947,0.8748,,
mu09_01,8,5,400,455.1,0.00498,744,0.947,0.8748,,
mu09_01,8,6,480,437.6,0.00221,851,0.967,0.2505,,
mu09_01,8,7,560,454.6,0.00221,851,0.967,0.2505,,
mu09_01,8,8,640,500,0.00571,526,0.999,0.6004,,
mu09_01,8,,,,,,,,640,480
mu09_01,9,1,80,16.6,0.00369,114,0.93,0.3898,,
mu09_01,9,2,160,33.4,0.0014,763,0.94,0.9052,,
mu09_01,9,3,240,172.6,0.0014,763,0.94,0.9052,,
mu09_01,9,4,320,179.8,0.00949,504,0.894,0.7107,,
mu09_01,9,5,400,108.8,0.00968,650,0.973,0.6587,,
mu09_01,9,6,480,112.4,0.00873,784,0.852,0.0853,,
mu09_01,9,7,560,88.1,0.00741,946,0.841,0.3593,,
mu09_01,9,8,640,157.3,0.00068,912,0.996,0.2438,,
mu09_01,9,9,720,402.6,0.00068,912,0.996,0.2438,,
mu09_01,9,10,800,386.3,0.00068,912,0.996,0.2438,,
mu09_01,9,11,880,500,0.00068,912,0.996,0.2438,,
mu09_01,9,,,,,,,,880,574
