experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
batch4_C2,1,1,80,9.65,0.00473,506,0.907,0.0147,,
batch4_C2,1,2,160,11.9,0.00443,507,0.861,0.9467,,
batch4_C2,1,3,240,211.35,0.00656,380,0.987,0.5451,,
batch4_C2,1,4,320,500,0.00092,960,0.971,0.6166,,
batch4_C2,1,,,,,,,,320,88
batch4_C2,2,1,80,11.9,0.0062,845,0.838,0.832,,
batch4_C2,2,2,160,23.65,0.00155,521,0.952,0.8501,,
batch4_C2,2,3,240,499.75,0.00667,733,0.81,0.3823,,
batch4_C2,2,4,320,500,0.00686,1016,0.912,0.6063,,
batch4_C2,2,,,,,,,,320,110
batch4_C2,3,1,80,13.6,0.00704,80,0.96,0.6976,,
batch4_C2,3,2,160,23.1,0.00538,540,0.916,0.7914,,
batch4_C2,3,3,240,500,0.00071,527,0.97,0.3699,,
batch4_C2,3,,,,,,,,240,50
batch4_C2,4,1,80,10.9,0.00268,545,0.826,0.0423,,
batch4_C2,4,2,160,11.6,0.00178,410,0.96,0.7933,,
batch4_C2,4,3,240,376.3,0.00178,410,0.96,0.7933,,
batch4_C2,4,4,320,135.15,0.0075,751,0.9,0.5514,,
batch4_C2,4,5,400,286.9,0.00999,775,0.934,0.9275,,
batch4_C2,4,6,480,347.3,0.00113,130,0.909,0.9588,,
batch4_C2,4,7,560,500,0.00773,575,0.966,0.9953,,
batch4_C2,4,,,,,,,,560,178
batch4_C2,5,1,80,13.15,0.00359,282,0.876,0.5492,,
batch4_C2,5,2,160,475.85,0.00313,873,0.974,0.484,,
batch4_C2,5,3,240,86.5,0.00405,344,0.975,0.1921,,
batch4_C2,5,4,320,500,0.0029,837,0.862,0.5401,,
batch4_C2,5,,,,,,,,320,110
batch4_C2,6,1,80,62.4,0.0033,248,0.893,0.2582,,
batch4_C2,6,2,160,33.75,0.0003,87,0.992,0.6733,,
batch4_C2,6,3,240,412.75,0.00072,545,0.807,0.8718,,
batch4_C2,6,4,320,439.25,0.00011,555,0.868,0.6724,,
batch4_C2,6,5,400,500,0.00011,555,0.868,0.6724,,
batch4_C2,6,,,,,,,,400,174
batch4_C2,7,1,80,12.6,0.00588,549,0.904,0.7555,,
batch4_C2,7,2,160,15.15,0.00725,971,0.975,0.7497,,
batch4_C2,7,3,240,181.7,0.00588,549,0.904,0.7555,,
batch4_C2,7,4,320,418.6,0.00195,901,0.878,0.614,,
batch4_C2,7,5,400,185.55,0.00195,901,0.878,0.614,,
batch4_C2,7,6,480,500,0.00036,292,0.953,0.9163,,
batch4_C2,7,,,,,,,,480,143
batch4_C2,8,1,80,47.6,0.00904,548,0.902,0.353,,
batch4_C2,8,2,160,24.1,0.00822,831,0.929,0.7217,,
batch4_C2,8,3,240,165.55,0.00487,906,0.921,0.7859,,
batch4_C2,8,4,320,268.8,0.00593,642,0.9,0.4767,,
batch4_C2,8,5,400,192.35,0.00596,911,0.97,0.9633,,
batch4_C2,8,6,480,261.1,0.00793,392,0.971,0.5404,,
batch4_C2,8,7,560,478.6,0.00426,93,0.958,0.0455,,
batch4_C2,8,8,640,388.35,0.00087,235,0.929,0.3728,,
batch4_C2,8,9,720,500,0.00055,214,0.97,0.5052,,
batch4_C2,8,,,,,,,,720,322
batch4_C2,9,1,80,46.75,0.00988,761,0.879,0.1366,,
batch4_C2,9,2,160,31.15,0.00651,441,0.903,0.784,,
batch4_C2,9,3,240,94.75,0.00651,441,0.903,0.784,,
batch4_C2,9,4,320,500,0.00281,65,0.841,0.5853,,
batch4_C2,9,,,,,,,,320,88
batch4_C1,1,1,80,21.85,0.00774,290,0.97,0.1684,,
batch4_C1,1,2,160,136.35,0.00726,667,0.977,0.0126,,
batch4_C1,1,3,240,158.45,0.00726,667,0.977,0.0126,,
batch4_C1,1,4,320,147.95,0.01,585,0.908,0.9291,,
batch4_C1,1,5,400,126.25,0.00571,926,0.927,0.3315,,
batch4_C1,1,6,480,116.75,0.00421,716,0.956,0.7366,,
batch4_C1,1,7,560,168.25,0.00629,969,0.955,0.8652,,
batch4_C1,1,8,640,125.4,0.00413,938,0.92,0.8192,,
batch4_C1,1,9,720,153.1,0.0085,811,0.945,0.6734,,
batch4_C1,1,10,800,154.5,0.00602,916,0.984,0.8501,,
batch4_C1,1,11,880,139.1,0.00313,948,0.82,0.3963,,
batch4_C1,1,12,960,151.9,0.00021,1023,0.819,0.4434,,
batch4_C1,1,13,1040,133.8,0.00084,793,0.82,0.7669,,
batch4_C1,1,14,1120,144.95,0.0086,963,0.963,0.1842,,
batch4_C1,1,15,1200,203.55,0.00519,984,0.802,0.0715,,
batch4_C1,1,16,1280,146.65,0.00265,996,0.841,0.2138,,
batch4_C1,1,17,1360,211.2,0.00265,996,0.841,0.2138,,
batch4_C1,1,18,1440,150.8,0.00452,951,0.824,0.0111,,
batch4_C1,1,19,1520,134,0.00849,342,0.974,0.0103,,
batch4_C1,1,20,1600,280.25,0.00726,880,0.97,0.9914,,
batch4_C1,1,21,1680,171.85,0.0052,1023,0.877,0.9742,,
batch4_C1,1,22,1760,190.25,0.00023,936,0.854,0.6086,,
batch4_C1,1,23,1840,150.35,0.0097,645,0.985,0.8948,,
batch4_C1,1,24,1920,196.8,0.00424,367,0.993,0.9126,,
batch4_C1,1,25,2000,389,0.00515,292,0.959,0.9817,,
batch4_C1,1,26,2080,318.6,0.00365,570,0.931,0.9434,,
batch4_C1,1,27,2160,249.95,0.00573,591,0.932,0.9861,,
batch4_C1,1,28,2240,328.65,0.00103,921,0.998,0.9721,,
batch4_C1,1,29,2320,313.3,0.00101,692,0.945,0.9871,,
batch4_C1,1,30,2400,288.45,0.00059,724,0.928,0.946,,
batch4_C1,1,31,2480,377.65,0.00013,731,0.966,0.9203,,
batch4_C1,1,32,2560,455.4,0.00013,731,0.966,0.9203,,
batch4_C1,1,33,2640,446.3,0.00012,955,0.993,0.8758,,
batch4_C1,1,34,2720,492.65,0.00012,955,0.993,0.8758,,
batch4_C1,1,35,2800,500,0.00013,731,0.966,0.9203,,
batch4_C1,1,,,,,,,,2800,1510
batch4_C1,2,1,80,52.7,0.00842,53,0.915,0.0632,,
batch4_C1,2,2,160,460.65,0.00369,407,0.967,0.9005,,
batch4_C1,2,3,240,500,0.00369,407,0.967,0.9005,,
batch4_C1,2,,,,,,,,240,50
batch4_C1,3,1,80,17,0.00553,814,0.803,0.9962,,
batch4_C1,3,2,160,57.35,0.00816,181,0.809,0.7204,,
batch4_C1,3,3,240,113.95,0.00945,375,0.864,0.0649,,
batch4_C1,3,4,320,240.7,0.00945,375,0.864,0.0649,,
batch4_C1,3,5,400,327.9,0.00622,969,0.934,0.753,,
batch4_C1,3,6,480,370.25,0.00117,787,0.824,0.048,,
batch4_C1,3,7,560,332.9,0.00117,787,0.824,0.048,,
batch4_C1,3,8,640,203.65,0.00176,903,0.85,0.0101,,
batch4_C1,3,9,720,392.8,0.00176,903,0.85,0.0101,,
batch4_C1,3,10,800,357,0.00293,798,0.835,0.4256,,
batch4_C1,3,11,880,428.55,0.00018,862,0.937,0.0529,,
batch4_C1,3,12,960,243.3,0.00044,951,0.862,0.1515,,
batch4_C1,3,13,1040,419.55,0.00705,150,0.81,0.3372,,
batch4_C1,3,14,1120,311.9,0.00705,150,0.81,0.3372,,
batch4_C1,3,15,1200,219.7,0.00079,178,0.984,0.9529,,
batch4_C1,3,16,1280,259.2,0.00023,29,0.996,0.2435,,
