experiment_id,iteration,generation,total_population_episodes,score,learning_rate,batch_size,gamma,epsilon,wall_time,episodes_to_solve
F03,1,1,80,17.4,0.005856599989906473,873,0.9245172834907188,0.552195631879238,5.452956438064575,
F03,1,1,80,13.4,0.008551960358293984,723,0.9367244362660394,0.8426254973767168,3.514263868331909,
F03,1,2,160,15.8,0.007143869696568965,805,0.995162196584053,0.7774861439558044,6.164132356643677,
F03,1,3,240,123.5,0.008551960358293984,723,0.9367244362660394,0.8426254973767168,12.45738935470581,
F03,1,4,320,475.9,0.003050041881124253,494,0.9333650186070375,0.33981297590619586,28.591033458709717,
F03,1,5,400,271.8,0.003050041881124253,494,0.9333650186070375,0.33981297590619586,44.87729239463806,
F03,1,6,480,500.0,0.0017509548906374268,828,0.9127568959365115,0.814177167661019,64.43561816215515,480
F03,2,1,80,9.8,0.0013172327647927038,314,0.8075567038765585,0.7950902457643935,3.1253507137298584,
F03,2,2,160,22.9,0.0026495929477156894,37,0.9589736610776645,0.6989763601349459,5.923398733139038,
F03,2,3,240,97.3,0.005610815068636971,53,0.9760334173623982,0.8200075771570533,14.027255773544312,
F03,2,4,320,191.1,0.005610815068636971,53,0.9760334173623982,0.8200075771570533,27.39491844177246,
F03,2,5,400,425.9,0.009084724625575373,150,0.9454164460396246,0.8462658409502524,45.43224048614502,
F03,2,6,480,191.8,0.004631887032314157,704,0.826701535141844,0.3697017111877851,59.79578375816345,
F03,2,7,560,139.5,0.007831824571276635,341,0.8678192144247527,0.8611538341265774,70.6606798171997,
F03,2,8,640,500.0,0.007414653630416754,200,0.9109663787482242,0.21193751324700028,87.24936270713806,640
F03,3,1,80,15.8,0.008852431001915203,361,0.86801352653233,0.245106273288875,3.040815830230713,
F03,3,2,160,23.5,0.007546006735721572,799,0.8981038993757158,0.8216298013233985,5.600137948989868,
F03,3,3,240,184.7,0.006401868659835354,292,0.9506048788122448,0.8714967900490582,19.744251012802124,
F03,3,4,320,326.7,0.0001,1024,0.999,0.01,38.743157625198364,
F03,3,5,400,306.3,0.0006550996198669771,776,0.8212657000532808,0.9794017876623222,59.726038455963135,
F03,3,6,480,338.8,0.008554693859902615,755,0.9217860225601696,0.036585008847787585,73.31156253814697,
F03,3,7,560,500.0,0.008554693859902615,755,0.9217860225601696,0.036585008847787585,110.38567090034485,560
F03,4,1,80,12.1,0.003065104931908701,403,0.8472322638275473,0.9031253060129206,3.082019090652466,
F03,4,2,160,405.9,0.003065104931908701,403,0.8472322638275473,0.9031253060129206,7.712436676025391,
F03,4,3,240,330.1,0.004071470884676439,224,0.8578752254152983,0.11262001062566288,20.676658868789673,
F03,4,4,320,446.5,0.003065104931908701,403,0.8472322638275473,0.9031253060129206,42.831791162490845,
F03,4,5,400,464.1,0.0001,16,0.8,1.0,58.79571604728699,
F03,4,6,480,446.4,0.0001,16,0.8,1.0,79.0281834602356,
F03,4,7,560,279.7,0.0001,16,0.8000000794859786,1.0,91.16193461418152,
F03,4,8,640,322.5,0.01,1024,0.8,1.0,106.34471297264099,
F03,4,9,720,459.4,0.0001,1024,0.8,1.0,120.34359192848206,
F03,4,10,800,500.0,0.0001,1024,0.8,1.0,140.7228546142578,800
F03,5,1,80,12.0,0.004216942133115631,791,0.9876571776599266,0.6011246941650251,3.823425054550171,
F03,5,2,160,85.1,0.004216942133115631,791,0.9876571776599266,0.6011246941650251,7.281994581222534,
F03,5,3,240,299.6,0.005431685432536413,983,0.9989999847270354,0.5618467600978068,21.22281575202942,
F03,5,4,320,146.6,0.009516857302226392,725,0.9186748231173063,0.12699945630031909,37.146421670913696,
F03,5,5,400,295.0,0.009516857302226392,725,0.9186748231173063,0.12699945630031909,55.897711753845215,
F03,5,6,480,500.0,0.0001,16,0.999,0.01,86.69972896575928,480
F03,6,1,80,13.0,0.00773248103210685,244,0.969841166789512,0.9106874812031689,3.6165976524353027,
F03,6,2,160,23.3,0.00773248103210685,244,0.969841166789512,0.9106874812031689,6.879195690155029,
F03,6,3,240,348.3,0.00688316309588323,686,0.8694208359791509,0.9928103072575404,15.879144430160522,
F03,6,4,320,500.0,0.0036828850057373432,799,0.9499407899900342,0.7399703040262633,38.97117900848389,320
F03,7,1,80,11.0,0.003147382800967378,284,0.8739237235589682,0.9886588035649226,3.596928358078003,
F03,7,2,160,28.1,0.003147382800967378,284,0.8739237235589682,0.9886588035649226,6.858703136444092,
F03,7,3,240,276.7,0.006348584335322152,695,0.8693387094614005,0.6261806295233417,22.211063385009766,
F03,7,4,320,290.2,0.00037170489145736473,137,0.9100157071203403,0.8687421863813226,40.673232555389404,
F03,7,5,400,241.2,0.0001,16,0.9680026774272507,0.40218761718483637,65.42139172554016,
F03,7,6,480,349.5,0.0016682687447910564,923,0.8839454112232309,0.656062819686727,84.35426545143127,
F03,7,7,560,500.0,0.001464868435447829,74,0.802555681469872,0.7010455948926887,125.41369414329529,560
F03,8,1,80,14.9,0.004035669251268648,205,0.8198467353053448,0.5060320870443838,3.488877773284912,
F03,8,2,160,19.7,0.005733034219673524,162,0.9794008199492124,0.48565279971921166,6.902570724487305,
F03,8,3,240,201.1,0.005733034219673524,162,0.9794008199492124,0.48565279971921166,14.221225023269653,
F03,8,4,320,341.7,0.0027888111585827003,141,0.8237095820428376,0.44237582449307367,25.176445245742798,
F03,8,5,400,500.0,0.0001,1024,0.999,1.0,41.15368056297302,400
F03,9,1,80,38.0,0.002100792276929068,710,0.8271399872049944,0.45905391559083264,3.988614082336426,
F03,9,2,160,178.5,0.008502096276964724,852,0.8363839266211974,0.9047418661560557,8.510759830474854,
F03,9,3,240,476.3,0.008502096276964724,852,0.8363839266211974,0.9047418661560557,25.6528217792511,
F03,9,4,320,476.7,0.007450592917606178,855,0.8176929384458447,1.0,41.24620842933655,
F03,9,5,400,363.8,0.001012618322738446,29,0.8049960793135102,0.8306198059001312,56.771244049072266,
F03,9,6,480,319.5,0.001012618322738446,29,0.8049960793135102,0.8306198059001312,74.81109142303467,
F03,9,7,560,500.0,0.009979411568442165,25,0.9662237777500162,0.9416859549368906,93.3681812286377,560
F03,10,1,80,15.2,0.0022414882260412268,83,0.9261273404275305,0.4990457970936346,3.6333014965057373,
F03,10,2,160,47.6,0.0022414882260412268,83,0.9261273404275305,0.4990457970936346,6.9073569774627686,
F03,10,3,240,197.2,0.0022414882260412268,83,0.9261273404275305,0.4990457970936346,16.98640727996826,
F03,10,4,320,410.4,0.003428560646405758,261,0.9253560706078164,0.24170189315475227,30.690505504608154,
F03,10,5,400,246.5,0.009988307449080028,1016,0.999,0.01,65.41122150421143,
F03,10,6,480,500.0,0.0008122289948441716,570,0.9711596698241991,0.864875241877293,96.17051315307617,480
F03,11,1,80,11.6,0.002569844592103807,638,0.8556396600794389,0.9984416593032139,4.007214784622192,
F03,11,2,160,49.1,0.002569844592103807,638,0.8556396600794389,0.9984416593032139,7.969570636749268,
F03,11,3,240,172.5,0.008022309293363858,387,0.9844983735190015,0.648817195302177,17.098111391067505,
F03,11,4,320,396.1,0.009978628664480946,763,0.9941864997343224,0.958644913830383,33.179781436920166,
F03,11,5,400,345.2,0.0001,21,0.8,0.010000126873419687,65.61880207061768,
