experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
1,1,1,80,10.8,0.00476,639,0.981,0.3124,,
1,1,2,160,24.9,0.00585,909,0.916,0.6727,,
1,1,3,240,139.6,0.00746,107,0.812,0.8318,,
1,1,4,320,318.7,0.00709,678,0.806,0.3861,,
1,1,5,400,500,0.00585,909,0.916,0.6727,,
1,1,,,,,,,,400,53
1,2,1,80,11.4,0.00668,971,0.814,0.106,,
1,2,2,160,23.7,0.00619,706,0.846,0.4651,,
1,2,3,240,500,0.00538,644,0.856,0.3652,,
1,2,,,,,,,,240,18
1,3,1,80,16.3,0.00095,107,0.989,0.5922,,
1,3,2,160,24.3,0.01,79,0.991,0.8546,,
1,3,3,240,192.5,0.00942,841,0.909,1,,
1,3,4,320,159.3,0.0046,944,0.843,0.4446,,
1,3,5,400,173.8,0.00991,583,0.942,0.9617,,
1,3,6,480,98.6,0.00458,533,0.96,0.1007,,
1,3,7,560,141.5,0.00747,1003,0.894,0.2303,,
1,3,8,640,174.6,0.00769,959,0.981,0.6565,,
1,3,9,720,487.5,0.00925,711,0.985,0.0707,,
1,3,10,800,423.7,0.00618,755,0.938,0.3594,,
1,3,11,880,476.8,0.00768,999,0.929,0.4856,,
1,3,12,960,448.4,0.00428,943,0.964,0.604,,
1,3,13,1040,391.7,0.00871,920,0.979,0.4512,,
1,3,14,1120,448.6,0.00942,902,0.992,0.9596,,
1,3,15,1200,408,0.00453,336,0.954,0.9428,,
1,3,16,1280,470.1,0.00565,1003,0.927,0.4585,,
1,3,17,1360,499.2,0.00078,692,0.988,0.9546,,
1,3,18,1440,477.6,0.00028,944,0.994,0.7033,,
1,3,19,1520,459.3,0.00039,886,0.99,0.9552,,
1,3,20,1600,427.2,0.00028,944,0.994,0.7033,,
1,3,21,1680,286.8,0.00028,944,0.994,0.7033,,
1,3,22,1760,452,0.00147,816,0.992,0.6403,,
1,3,23,1840,422.7,0.00149,840,0.984,0.7374,,
1,3,24,1920,409.4,0.0001,875,0.996,0.5871,,
1,3,25,2000,500,0.00136,355,0.99,0.8317,,
1,3,,,,,,,,2000,425
1,4,1,80,13.5,0.00269,334,0.963,0.0391,,
1,4,2,160,24.3,0.00834,240,0.914,0.8842,,
1,4,3,240,149.6,0.00104,942,0.804,0.4471,,
1,4,4,320,188.8,0.00992,625,0.819,0.4298,,
1,4,5,400,161.1,0.005,952,0.954,0.0678,,
1,4,6,480,187.3,0.00921,792,0.857,0.0886,,
1,4,7,560,500,0.00404,972,0.981,0.5224,,
1,4,,,,,,,,560,91
1,5,1,80,29.4,0.0072,904,0.942,0.224,,
1,5,2,160,52.2,0.0072,904,0.942,0.224,,
1,5,3,240,500,0.0072,904,0.942,0.224,,
1,5,,,,,,,,240,19
1,6,1,80,16.1,0.00991,308,0.867,0.6333,,
1,6,2,160,48,0.00235,1000,0.853,0.452,,
1,6,3,240,95.2,0.00136,996,0.969,0.1496,,
1,6,4,320,141.7,0.00342,899,0.947,0.188,,
1,6,5,400,145.3,0.00968,933,0.885,0.1177,,
1,6,6,480,132,0.00877,929,0.964,0.7722,,
1,6,7,560,175.9,0.00717,911,0.967,0.9061,,
1,6,8,640,212.1,0.0053,1017,0.923,0.6294,,
1,6,9,720,155.1,0.00919,854,0.961,0.888,,
1,6,10,800,161.9,0.0009,595,0.977,0.7358,,
1,6,11,880,180.4,0.00861,691,0.992,0.969,,
1,6,12,960,326.8,0.00657,860,0.954,0.9845,,
1,6,13,1040,262.9,0.00657,860,0.954,0.9845,,
1,6,14,1120,211.9,0.00248,790,0.824,0.9758,,
1,6,15,1200,224,0.00027,514,0.914,0.8504,,
1,6,16,1280,246.7,0.00498,908,0.872,0.9958,,
1,6,17,1360,232.3,0.00027,514,0.914,0.8504,,
1,6,18,1440,267,0.00461,367,0.997,0.9407,,
1,6,19,1520,186.6,0.00027,514,0.914,0.8504,,
