experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
1,1,1,80,21.2,0.00336,971,0.918,0.1237,,
1,1,2,160,133.3,0.00269,971,0.909,0.7996,,
1,1,3,240,119.4,0.00267,1015,0.949,0.8846,,
1,1,4,320,167.2,0.00375,930,0.926,0.7077,,
1,1,5,400,194,0.00267,1015,0.949,0.8846,,
1,1,6,480,292.8,0.00137,906,0.971,0.5691,,
1,1,7,560,271.1,0.00823,917,0.999,0.6755,,
1,1,8,640,357.4,0.00228,860,0.915,0.5669,,
1,1,9,720,218,0.00786,999,0.983,0.9239,,
1,1,10,800,195.3,0.00048,979,0.934,0.3727,,
1,1,11,880,200.6,0.00078,693,0.933,0.0839,,
1,1,12,960,204.5,0.00541,827,0.97,0.5515,,
1,1,13,1040,269,0.00205,879,0.999,0.1162,,
1,1,14,1120,218.5,0.00204,547,0.986,0.1644,,
1,1,15,1200,266.2,0.00394,977,0.954,0.2627,,
1,1,16,1280,242.2,0.00394,977,0.954,0.2627,,
1,1,17,1360,283.6,0.00238,496,0.998,0.0118,,
1,1,18,1440,463.8,0.00238,496,0.998,0.0118,,
1,1,19,1520,410.1,0.00944,97,0.832,0.9937,,
1,1,20,1600,483.4,0.00023,401,0.971,0.1775,,
1,1,21,1680,500,0.00026,682,0.973,0.1411,,
1,1,,,,,,,,1680,596
1,2,1,80,30.4,0.00383,434,0.959,0.4366,,
1,2,2,160,11.8,0.0015,556,0.854,0.5487,,
1,2,3,240,84.2,0.00632,466,0.843,0.9753,,
1,2,4,320,338.2,0.00732,187,0.856,0.5213,,
1,2,5,400,500,0.00632,466,0.843,0.9753,,
1,2,,,,,,,,400,54
1,3,1,80,10.9,0.00343,544,0.871,0.6768,,
1,3,2,160,19.8,0.00767,596,0.848,0.8015,,
1,3,3,240,165.1,0.0098,604,0.855,0.7312,,
1,3,4,320,327.4,0.00961,18,0.892,0.1523,,
1,3,5,400,153,0.0094,610,0.981,0.6638,,
1,3,6,480,316.8,0.00631,871,0.945,0.9588,,
1,3,7,560,500,0.00716,368,0.947,0.7415,,
1,3,,,,,,,,560,98
1,4,1,80,9.9,0.00747,851,0.8,0.0815,,
1,4,2,160,19.5,0.00043,627,0.961,0.9046,,
1,4,3,240,307.6,0.00488,441,0.85,0.9998,,
1,4,4,320,500,0.00896,485,0.856,0.6209,,
1,4,,,,,,,,320,55
1,5,1,80,21.6,0.00782,154,0.911,0.5011,,
1,5,2,160,131.2,0.00867,503,0.877,0.5586,,
1,5,3,240,152,0.00665,538,0.932,0.9786,,
1,5,4,320,500,0.00896,384,0.97,0.8491,,
1,5,,,,,,,,320,54
1,6,1,80,10.2,0.00587,873,0.974,0.771,,
1,6,2,160,112.1,0.00932,835,0.885,0.3459,,
1,6,3,240,190.9,0.00299,932,0.922,0.4436,,
1,6,4,320,453.4,0.00454,825,0.977,0.8598,,
1,6,5,400,389.7,0.00439,1023,0.957,0.2756,,
1,6,6,480,438.3,0.00686,985,0.899,0.8127,,
1,6,7,560,234.8,0.00459,642,0.855,0.7783,,
1,6,8,640,162.8,0.00459,642,0.855,0.7783,,
1,6,9,720,58.3,0.00459,642,0.855,0.7783,,
1,6,10,800,107,0.00469,906,0.9,0.5288,,
1,6,11,880,87.1,0.00366,938,0.959,0.7874,,
1,6,12,960,90,0.00038,337,0.9,0.9733,,
1,6,13,1040,102.6,0.00319,683,0.992,0.0333,,
1,6,14,1120,139.2,0.00017,743,0.802,0.8965,,
1,6,15,1200,500,0.00053,851,0.962,0.6903,,
1,6,,,,,,,,1200,192
1,7,1,80,11.2,0.00642,79,0.847,0.6776,,
1,7,2,160,20.5,0.00371,739,0.888,0.6817,,
1,7,3,240,461.1,0.00371,739,0.888,0.6817,,
1,7,4,320,388.9,0.00835,812,0.858,0.5631,,
1,7,5,400,187.1,0.0001,915,0.824,0.9454,,
1,7,6,480,184.4,0.00968,816,0.8,0.6443,,
1,7,7,560,204.9,0.00778,810,0.859,0.4479,,
1,7,8,640,272,0.0001,915,0.824,0.9454,,
1,7,9,720,487.8,0.0001,156,0.968,0.7298,,
1,7,10,800,388.7,0.00141,807,0.833,0.9052,,
1,7,11,880,493.1,0.00248,656,0.987,0.9704,,
1,7,12,960,454.9,0.00248,656,0.987,0.9704,,
1,7,13,1040,405.1,0.00236,401,0.991,0.8715,,
1,7,14,1120,500,0.0001,476,0.94,0.824,,
1,7,,,,,,,,1120,158
1,8,1,80,12.5,0.00828,637,0.841,0.9746,,
1,8,2,160,11.2,0.00071,118,0.803,0.4572,,
1,8,3,240,60.1,0.00458,797,0.813,0.8,,
1,8,4,320,136.2,0.00384,71,0.859,0.9998,,
1,8,5,400,205.3,0.00058,107,0.822,0.9353,,
1,8,6,480,181.3,0.00058,107,0.822,0.9353,,
1,8,7,560,217.6,0.00058,107,0.822,0.9353,,
1,8,8,640,311.4,0.00229,991,0.912,0.0938,,
1,8,9,720,160.5,0.00168,854,0.904,0.1595,,
1,8,10,800,322.9,0.00229,991,0.912,0.0938,,
1,8,11,880,312.5,0.00229,991,0.912,0.0938,,
1,8,12,960,500,0.00229,991,0.912,0.0938,,
1,8,,,,,,,,960,176
1,9,1,80,10.3,0.00945,835,0.801,0.9789,,
1,9,2,160,69.3,0.00783,527,0.83,0.6879,,
1,9,3,240,240,0.00487,112,0.806,0.9031,,
1,9,4,320,500,0.00387,833,0.901,0.9133,,
1,9,,,,,,,,320,28
1,10,1,80,26.1,0.00932,427,0.947,0.2676,,
1,10,2,160,91.6,0.00381,423,0.804,0.8409,,
1,10,3,240,154.5,0.00068,47,0.803,0.7629,,
1,10,4,320,261,0.00068,47,0.803,0.7629,,
1,10,5,400,447.4,0.00108,52,0.987,0.8908,,
1,10,6,480,500,0.00108,52,0.987,0.8908,,
1,10,,,,,,,,480,67
1,11,1,80,31.1,0.00033,809,0.931,0.8322,,
1,11,2,160,34.7,0.00293,836,0.996,0.1207,,
1,11,3,240,228.2,0.00226,834,0.996,0.4394,,
1,11,4,320,333.4,0.00309,498,0.925,0.9831,,
1,11,5,400,500,0.00277,388,0.86,0.9411,,
1,11,,,,,,,,400,48
1,12,1,80,11.7,0.00862,326,0.866,0.9897,,
1,12,2,160,27.4,0.00862,326,0.866,0.9897,,
1,12,3,240,82.5,0.00556,1006,0.961,0.7996,,
1,12,4,320,170.8,0.00413,733,0.887,0.9994,,
1,12,5,400,232.2,0.00474,893,0.959,0.983,,
1,12,6,480,147.5,0.00474,893,0.959,0.983,,
1,12,7,560,149.8,0.00717,821,0.922,0.8163,,
1,12,8,640,148.1,0.00474,893,0.959,0.983,,
1,12,9,720,136.8,0.00593,871,0.965,0.9994,,
1,12,10,800,459.8,0.00114,985,0.858,0.786,,
1,12,11,880,295.9,0.0007,919,0.802,0.8946,,
1,12,12,960,500,0.00593,871,0.965,0.9994,,
1,12,,,,,,,,960,115
1,13,1,80,13.7,0.00613,106,0.879,0.9737,,
1,13,2,160,72.1,0.00471,558,0.989,0.8842,,
1,13,3,240,221.2,0.0002,393,0.881,0.8554,,
1,13,4,320,273,0.0002,393,0.881,0.8554,,
1,13,5,400,256.7,0.0002,393,0.881,0.8554,,
1,13,6,480,210.5,0.00011,360,0.877,0.7539,,
1,13,7,560,182.9,0.00013,189,0.912,0.9523,,
1,13,8,640,135.3,0.00598,525,0.964,0.8081,,
1,13,9,720,281.8,0.00598,525,0.964,0.8081,,
1,13,10,800,229.8,0.00091,1010,0.979,0.5853,,
1,13,11,880,436.4,0.00078,754,0.993,0.5975,,
1,13,12,960,244,0.00024,944,0.96,0.6632,,
1,13,13,1040,256.6,0.00069,975,0.963,0.9134,,
1,13,14,1120,334.7,0.00069,975,0.963,0.9134,,
1,13,15,1200,286.3,0.00139,993,0.978,0.6407,,
1,13,16,1280,258,0.00104,811,0.954,0.7669,,
1,13,17,1360,231.6,0.00104,811,0.954,0.7669,,
1,13,18,1440,132.2,0.00034,854,0.878,0.8273,,
1,13,19,1520,125.2,0.00034,854,0.878,0.8273,,
1,13,20,1600,121.4,0.00012,651,0.888,0.829,,
1,13,21,1680,115,0.0013,844,0.98,0.913,,
1,13,22,1760,121.8,0.0013,844,0.98,0.913,,
1,13,23,1840,121.4,0.0001,731,0.953,0.951,,
1,13,24,1920,121,0.00128,872,0.965,0.9159,,
1,13,25,2000,116.2,0.00128,872,0.965,0.9159,,
1,13,26,2080,130,0.00034,205,0.954,0.8808,,
1,13,27,2160,188.6,0.00813,1023,0.806,0.3041,,
1,13,28,2240,252.1,0.00018,169,0.999,0.6368,,
1,13,29,2320,325.7,0.0018,852,0.821,0.0217,,
1,13,30,2400,404.4,0.0001,630,0.963,0.9563,,
1,13,31,2480,472,0.0001,630,0.963,0.9563,,
1,13,32,2560,355.4,0.00071,158,0.991,0.916,,
1,13,33,2640,279,0.0001,309,0.993,0.5288,,
1,13,34,2720,455.7,0.00144,215,0.969,0.799,,
1,13,35,2800,251.3,0.00162,83,0.972,0.6388,,
1,13,36,2880,244,0.00224,302,0.995,0.9317,,
1,13,37,2960,214.5,0.00035,334,0.97,0.6191,,
1,13,38,3040,207.9,0.00035,334,0.97,0.6191,,
1,13,39,3120,168.3,0.00035,334,0.97,0.6191,,
1,13,40,3200,186.1,0.00035,334,0.97,0.6191,,
1,13,41,3280,113.1,0.00026,1009,0.874,0.1468,,
1,13,42,3360,225.5,0.00084,84,0.989,0.7144,,
1,13,43,3440,217.6,0.00104,161,0.992,0.3793,,
1,13,44,3520,201.4,0.00305,985,0.835,0.088,,
1,13,45,3600,219.7,0.0011,1016,0.83,0.0202,,
1,13,46,3680,221.9,0.00099,81,0.962,0.516,,
1,13,47,3760,209.5,0.0001,64,0.921,0.3977,,
1,13,48,3840,234.7,0.00261,870,0.814,0.0646,,
1,13,49,3920,208.4,0.00012,227,0.991,0.6078,,
1,13,50,4000,227.9,0.00071,219,0.991,0.937,,
1,13,51,4080,217.2,0.00061,902,0.994,0.9054,,
1,13,52,4160,225.7,0.00061,902,0.994,0.9054,,
1,13,53,4240,216,0.00121,800,0.977,0.9149,,
1,13,54,4320,217.6,0.00021,853,0.946,0.8706,,
1,13,55,4400,218.9,0.0011,1011,0.938,0.9601,,
1,13,56,4480,220.5,0.0001,747,0.965,0.6146,,
1,13,57,4560,237.9,0.00145,657,0.992,0.963,,
1,13,58,4640,202.7,0.00013,776,0.941,0.3064,,
1,13,59,4720,212.5,0.00036,889,0.968,0.8218,,
1,13,60,4800,227.4,0.00076,981,0.985,0.1523,,
1,13,61,4880,258.1,0.00076,981,0.985,0.1523,,
1,13,62,4960,208.4,0.00317,1018,0.964,0.9671,,
1,13,63,5040,233.7,0.00011,759,0.983,0.4237,,
1,13,64,5120,246.6,0.00011,759,0.983,0.4237,,
1,13,65,5200,240.5,0.00074,937,0.998,0.558,,
1,13,66,5280,228.8,0.00011,759,0.983,0.4237,,
1,13,67,5360,208.4,0.00011,759,0.983,0.4237,,
1,13,68,5440,179.6,0.00054,701,0.97,0.7208,,
1,13,69,5520,202,0.00054,701,0.97,0.7208,,
1,13,70,5600,139.7,0.0001,676,0.937,0.7263,,
1,13,71,5680,237.7,0.00026,257,0.99,0.5279,,
1,13,72,5760,279.4,0.00026,257,0.99,0.5279,,
1,13,73,5840,295.9,0.00092,869,0.997,0.9725,,
1,13,74,5920,188.5,0.00036,60,0.963,0.3294,,
1,13,75,6000,128.6,0.00036,60,0.963,0.3294,,
1,13,76,6080,106.1,0.00012,722,0.977,0.7966,,
1,13,77,6160,105.8,0.00012,722,0.977,0.7966,,
1,13,78,6240,160.6,0.00115,935,0.97,0.3286,,
1,13,79,6320,126.9,0.0001,493,0.927,0.1472,,
1,13,80,6400,118.5,0.00046,982,0.827,0.0388,,
1,13,81,6480,195.5,0.00242,925,0.918,0.6182,,
1,13,82,6560,118.3,0.00046,982,0.827,0.0388,,
1,13,83,6640,257,0.0014,18,0.988,0.3749,,
1,13,84,6720,258,0.0014,18,0.988,0.3749,,
1,13,85,6800,247.1,0.00054,441,0.98,0.4053,,
1,13,86,6880,324.8,0.00043,453,0.996,0.7818,,
1,13,87,6960,417,0.00024,280,0.98,0.5137,,
1,13,88,7040,444.4,0.0001,306,0.999,0.7019,,
1,13,89,7120,406.3,0.0001,306,0.999,0.7019,,
1,13,90,7200,338.1,0.00038,215,0.984,0.6021,,
1,13,91,7280,360.4,0.00117,259,0.991,0.684,,
1,13,92,7360,217.8,0.00037,29,0.94,0.5159,,
1,13,93,7440,257.6,0.0001,208,0.959,0.7724,,
1,13,94,7520,394.2,0.00023,126,0.962,0.4553,,
1,13,95,7600,500,0.00049,183,0.926,0.4909,,
1,13,,,,,,,,7600,1487
2,1,1,80,12.4,0.00507,29,0.919,0.1504,,
2,1,2,160,13.1,0.00098,144,0.986,0.2017,,
2,1,3,240,79.8,0.00019,810,0.968,0.5798,,
2,1,4,320,178.1,0.00939,973,0.846,0.2693,,
2,1,5,400,318,0.00923,902,0.926,0.2931,,
2,1,6,480,153.4,0.00923,902,0.926,0.2931,,
2,1,7,560,152,0.00894,757,0.952,0.1681,,
2,1,8,640,463,0.00586,957,0.975,0.2165,,
2,1,9,720,480.3,0.00081,812,0.964,0.05,,
2,1,10,800,379,0.00876,1021,0.917,0.027,,
2,1,11,880,476.6,0.00625,1023,0.992,0.1237,,
2,1,12,960,406.5,0.00081,812,0.964,0.05,,
2,1,13,1040,463.9,0.00306,991,0.966,0.1344,,
2,1,14,1120,435.5,0.00081,812,0.964,0.05,,
2,1,15,1200,335,0.0088,972,0.999,0.0361,,
2,1,16,1280,387.2,0.00016,519,0.922,0.0754,,
2,1,17,1360,461.9,0.00471,902,0.938,0.0149,,
2,1,18,1440,247.2,0.00233,888,0.998,0.0345,,
2,1,19,1520,500,0.00233,888,0.998,0.0345,,
2,1,,,,,,,,1520,490
2,2,1,80,13.5,0.0022,749,0.985,0.4536,,
2,2,2,160,15.6,0.00404,692,0.807,0.3096,,
2,2,3,240,115.8,0.00381,884,0.895,0.2621,,
2,2,4,320,162.2,0.00641,866,0.924,0.4018,,
2,2,5,400,381.9,0.00772,845,0.991,0.8912,,
2,2,6,480,500,0.00819,956,0.988,0.3393,,
2,2,,,,,,,,480,64
2,3,1,80,12.6,0.00476,34,0.971,0.9816,,
2,3,2,160,35.4,0.00443,180,0.804,0.5101,,
2,3,3,240,172.2,0.00896,378,0.849,0.4346,,
2,3,4,320,181.3,0.00784,398,0.821,0.8003,,
2,3,5,400,265.7,0.00932,598,0.898,0.8461,,
2,3,6,480,210.1,0.00019,17,0.952,0.7687,,
2,3,7,560,211.3,0.00019,17,0.952,0.7687,,
2,3,8,640,298.6,0.00179,815,0.974,0.8733,,
2,3,9,720,300.6,0.00159,146,0.978,0.9465,,
2,3,10,800,439.2,0.00358,349,0.867,0.8717,,
2,3,11,880,475.2,0.00159,146,0.978,0.9465,,
2,3,12,960,304.7,0.00028,630,0.979,0.8641,,
2,3,13,1040,393.2,0.0001,59,0.953,0.4428,,
2,3,14,1120,256.5,0.00276,281,0.977,0.9942,,
2,3,15,1200,188.5,0.0001,59,0.953,0.4428,,
2,3,16,1280,199.7,0.0001,59,0.953,0.4428,,
2,3,17,1360,212.9,0.00018,994,0.828,0.8435,,
2,3,18,1440,418.4,0.0005,981,0.926,0.4714,,
2,3,19,1520,438.2,0.00025,439,0.966,0.7883,,
2,3,20,1600,338.3,0.00011,158,0.988,0.5384,,
2,3,21,1680,458.2,0.0001,17,0.997,0.6878,,
2,3,22,1760,461.8,0.0001,102,0.949,0.8196,,
2,3,23,1840,334.9,0.00015,335,0.99,0.7578,,
2,3,24,1920,419.8,0.00012,108,0.999,0.8958,,
2,3,25,2000,424.2,0.00012,108,0.999,0.8958,,
2,3,26,2080,416.5,0.00012,108,0.999,0.8958,,
2,3,27,2160,392.6,0.00012,108,0.999,0.8958,,
2,3,28,2240,297.2,0.00012,108,0.999,0.8958,,
2,3,29,2320,289.7,0.00012,108,0.999,0.8958,,
2,3,30,2400,214.2,0.00012,108,0.999,0.8958,,
2,3,31,2480,263.2,0.00044,122,0.975,0.9182,,
2,3,32,2560,253.9,0.0001,164,0.98,0.6698,,
2,3,33,2640,295.5,0.00095,60,0.995,0.5869,,
2,3,34,2720,130.3,0.00019,264,0.998,0.9163,,
2,3,35,2800,171.2,0.00024,832,0.824,0.0719,,
2,3,36,2880,302.4,0.00022,539,0.969,0.8828,,
2,3,37,2960,322.2,0.00022,539,0.969,0.8828,,
2,3,38,3040,305,0.00064,611,0.95,0.8711,,
2,3,39,3120,276.9,0.00056,478,0.995,0.9074,,
2,3,40,3200,195.2,0.0002,116,0.942,0.9634,,
2,3,41,3280,252.7,0.00019,33,0.983,0.5316,,
2,3,42,3360,145.3,0.00012,224,0.976,0.9133,,
2,3,43,3440,161.7,0.00066,501,0.987,0.9627,,
2,3,44,3520,166.2,0.00011,609,0.971,0.8331,,
2,3,45,3600,152,0.00011,217,0.971,0.6769,,
2,3,46,3680,164.3,0.00011,609,0.971,0.8331,,
2,3,47,3760,186.7,0.00873,847,0.801,0.9801,,
2,3,48,3840,193.6,0.0083,1023,0.827,0.897,,
2,3,49,3920,288.3,0.00023,1023,0.964,0.9144,,
2,3,50,4000,460.9,0.00935,965,0.966,0.8343,,
2,3,51,4080,500,0.00716,921,0.999,0.8077,,
2,3,,,,,,,,4080,599
2,4,1,80,30.4,0.00705,926,0.812,0.5536,,
2,4,2,160,207.5,0.00648,713,0.939,0.7762,,
2,4,3,240,156.3,0.00154,96,0.954,0.8627,,
2,4,4,320,500,0.0076,390,0.983,0.8807,,
2,4,,,,,,,,320,42
2,5,1,80,9.9,0.00547,694,0.922,0.5013,,
2,5,2,160,13,0.00577,143,0.976,0.9535,,
2,5,3,240,186.2,0.00116,486,0.955,0.5078,,
2,5,4,320,382,0.00577,143,0.976,0.9535,,
2,5,5,400,300.8,0.00049,598,0.998,0.6979,,
2,5,6,480,394.6,0.00019,136,0.994,0.9742,,
2,5,7,560,500,0.00019,136,0.994,0.9742,,
2,5,,,,,,,,560,76
2,6,1,80,12.3,0.0037,240,0.876,0.7405,,
2,6,2,160,456.8,0.00493,367,0.81,0.7571,,
2,6,3,240,282.6,0.00183,984,0.959,0.8747,,
2,6,4,320,500,0.00183,984,0.959,0.8747,,
2,6,,,,,,,,320,35
2,7,1,80,33,0.00263,862,0.92,0.5235,,
2,7,2,160,156.3,0.00046,752,0.974,0.2867,,
2,7,3,240,500,0.00046,752,0.974,0.2867,,
2,7,,,,,,,,240,32
2,8,1,80,22.7,0.0014,1001,0.877,0.3217,,
2,8,2,160,16.5,0.00481,1007,0.833,0.7754,,
2,8,3,240,325.3,0.00917,921,0.812,0.5533,,
2,8,4,320,277,0.00917,921,0.812,0.5533,,
2,8,5,400,286.6,0.00123,108,0.802,0.9878,,
2,8,6,480,500,0.00364,879,0.992,0.6646,,
2,8,,,,,,,,480,86
2,9,1,80,9.5,0.0048,498,0.955,0.1926,,
2,9,2,160,54,0.00813,522,0.997,0.2653,,
2,9,3,240,500,0.00755,632,0.942,0.1047,,
2,9,,,,,,,,240,30
2,10,1,80,9.8,0.00139,963,0.936,0.7745,,
2,10,2,160,71.2,0.00672,975,0.901,0.6466,,
2,10,3,240,337.9,0.00887,577,0.89,0.7178,,
2,10,4,320,500,0.00089,113,0.858,0.8766,,
2,10,,,,,,,,320,31
2,11,1,80,10.7,0.00342,648,0.989,0.1901,,
2,11,2,160,96.7,0.00696,979,0.928,0.6829,,
2,11,3,240,500,0.0017,743,0.888,0.8666,,
2,11,,,,,,,,240,25
2,12,1,80,14.8,0.00793,841,0.801,0.7274,,
2,12,2,160,16.8,0.00793,841,0.801,0.7274,,
2,12,3,240,280.5,0.00793,841,0.801,0.7274,,
2,12,4,320,204.8,0.00793,841,0.801,0.7274,,
2,12,5,400,344.8,0.00571,406,0.843,0.8508,,
2,12,6,480,336.9,0.00477,730,0.963,0.8897,,
2,12,7,560,212.2,0.00938,567,0.944,0.883,,
2,12,8,640,265.6,0.0022,955,0.997,0.1339,,
2,12,9,720,387.5,0.0022,955,0.997,0.1339,,
2,12,10,800,500,0.0022,955,0.997,0.1339,,
2,12,,,,,,,,800,154
2,13,1,80,11.3,0.00364,618,0.89,0.8391,,
2,13,2,160,12.3,0.0037,252,0.922,0.8589,,
2,13,3,240,127.6,0.0037,252,0.922,0.8589,,
2,13,4,320,500,0.00576,213,0.915,0.7503,,
2,13,,,,,,,,320,28
2,14,1,80,11.3,0.00961,840,0.834,0.3713,,
2,14,2,160,16,0.00536,361,0.938,0.5642,,
2,14,3,240,116.4,0.00866,503,0.922,0.7801,,
2,14,4,320,500,0.00536,361,0.938,0.5642,,
2,14,,,,,,,,320,30
2,15,1,80,20.7,0.00485,791,0.801,0.9579,,
2,15,2,160,42.1,0.0067,646,0.925,0.9366,,
2,15,3,240,500,0.00721,286,0.932,0.8734,,
2,15,,,,,,,,240,21
2,16,1,80,13.9,0.00523,164,0.852,0.3473,,
2,16,2,160,28.9,0.00448,897,0.879,0.498,,
2,16,3,240,187.6,0.00786,459,0.873,0.6887,,
2,16,4,320,214.8,0.00852,415,0.879,0.6415,,
2,16,5,400,338,0.00921,787,0.861,0.9438,,
2,16,6,480,183.4,0.00942,177,0.957,0.9669,,
2,16,7,560,326,0.00951,201,0.855,0.8605,,
2,16,8,640,304.8,0.0071,1014,0.83,0.9705,,
2,16,9,720,198.4,0.001,495,0.904,0.9078,,
2,16,10,800,186.5,0.00432,483,0.998,0.9615,,
2,16,11,880,177,0.0018,521,0.912,0.8734,,
2,16,12,960,238.3,0.00043,63,0.981,0.9823,,
2,16,13,1040,262.2,0.00269,987,0.981,0.9905,,
2,16,14,1120,279.3,0.00264,390,0.96,0.9681,,
2,16,15,1200,237.8,0.00621,578,0.968,0.9601,,
2,16,16,1280,362.7,0.00639,756,0.959,0.9828,,
2,16,17,1360,275.9,0.00621,578,0.968,0.9601,,
2,16,18,1440,282.9,0.00639,756,0.959,0.9828,,
2,16,19,1520,344,0.00808,784,0.992,0.9006,,
2,16,20,1600,318.6,0.0081,888,0.981,0.9453,,
2,16,21,1680,379,0.0029,629,0.999,0.981,,
2,16,22,1760,431.8,0.0007,473,0.976,0.9523,,
2,16,23,1840,445.8,0.00029,621,0.961,0.9825,,
2,16,24,1920,221.8,0.00194,868,0.928,0.9833,,
2,16,25,2000,153.9,0.0025,593,0.818,0.9109,,
2,16,26,2080,121.9,0.00049,632,0.959,0.986,,
2,16,27,2160,101.1,0.00061,917,0.825,0.7412,,
2,16,28,2240,93.8,0.00061,917,0.825,0.7412,,
2,16,29,2320,69.8,0.00049,632,0.959,0.986,,
2,16,30,2400,73,0.00057,229,0.961,0.9396,,
2,16,31,2480,52,0.00057,554,0.913,0.9915,,
2,16,32,2560,139.5,0.00981,1020,0.979,0.854,,
2,16,33,2640,109.9,0.0024,638,0.967,0.9993,,
2,16,34,2720,109.8,0.00143,459,0.993,0.9272,,
2,16,35,2800,131.4,0.00889,916,0.979,0.9979,,
2,16,36,2880,332.4,0.00339,582,0.961,0.9853,,
2,16,37,2960,177.5,0.00034,684,0.826,0.8539,,
2,16,38,3040,240,0.00034,684,0.826,0.8539,,
2,16,39,3120,267.3,0.00057,433,0.925,0.9998,,
2,16,40,3200,268,0.0001,448,0.807,0.9269,,
2,16,41,3280,185.7,0.0001,448,0.807,0.9269,,
2,16,42,3360,194.6,0.0001,448,0.807,0.9269,,
2,16,43,3440,282.3,0.00012,285,0.804,0.8969,,
2,16,44,3520,313.7,0.0001,411,0.819,0.8621,,
2,16,45,3600,190.5,0.00012,285,0.804,0.8969,,
2,16,46,3680,260.4,0.00012,285,0.804,0.8969,,
2,16,47,3760,68.8,0.00012,285,0.804,0.8969,,
2,16,48,3840,80.7,0.00074,333,0.829,0.914,,
2,16,49,3920,90.3,0.00048,904,0.932,0.9569,,
2,16,50,4000,93.8,0.00015,937,0.817,0.1377,,
2,16,51,4080,129.1,0.0002,913,0.808,0.8499,,
2,16,52,4160,197.7,0.00161,945,0.842,0.0502,,
2,16,53,4240,107.9,0.00042,755,0.833,0.2604,,
2,16,54,4320,109.9,0.00161,945,0.842,0.0502,,
2,16,55,4400,137.1,0.00063,1003,0.871,0.3219,,
2,16,56,4480,205.8,0.00093,454,0.826,0.9775,,
2,16,57,4560,221.1,0.00061,848,0.875,0.1303,,
2,16,58,4640,191.1,0.00073,861,0.856,0.3488,,
2,16,59,4720,216.1,0.0011,726,0.817,0.2756,,
2,16,60,4800,147,0.0001,792,0.836,0.0885,,
2,16,61,4880,211.9,0.00031,990,0.847,0.0768,,
2,16,62,4960,223.3,0.00101,1023,0.941,0.1516,,
2,16,63,5040,348.3,0.00101,1023,0.941,0.1516,,
2,16,64,5120,210.1,0.00035,814,0.925,0.2455,,
2,16,65,5200,364.7,0.00011,851,0.966,0.1034,,
2,16,66,5280,474.3,0.00142,1002,0.998,0.0529,,
2,16,67,5360,500,0.00073,972,0.987,0.1244,,
2,16,,,,,,,,5360,979
2,17,1,80,12.7,0.0053,59,0.893,0.6305,,
2,17,2,160,194.8,0.00626,197,0.912,0.922,,
2,17,3,240,411.3,0.00752,305,0.977,0.9676,,
2,17,4,320,487.4,0.00768,262,0.805,0.9645,,
2,17,5,400,379.1,0.00092,529,0.979,0.8961,,
2,17,6,480,500,0.00092,529,0.979,0.8961,,
2,17,,,,,,,,480,54
2,18,1,80,12.2,0.0092,787,0.841,0.7804,,
2,18,2,160,24.9,0.00324,467,0.817,0.9135,,
2,18,3,240,78.5,0.00331,922,0.954,0.4058,,
2,18,4,320,148.4,0.00074,891,0.994,0.5045,,
2,18,5,400,500,0.00171,811,0.873,0.6413,,
2,18,,,,,,,,400,53
2,19,1,80,14.2,0.00675,539,0.932,0.7789,,
2,19,2,160,65.5,0.00625,408,0.958,0.8003,,
2,19,3,240,131.9,0.00137,978,0.816,0.7187,,
2,19,4,320,430.6,0.00592,776,0.803,0.9262,,
2,19,5,400,236.8,0.00592,776,0.803,0.9262,,
2,19,6,480,168.4,0.00787,665,0.992,0.9393,,
2,19,7,560,314.6,0.00787,665,0.992,0.9393,,
