experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
1,1,1,80,19,0.0058,862,0.917,0.9374,,
1,1,2,160,500,0.00121,107,0.938,0.8395,,
1,1,,,,,,,,160,12
1,2,1,80,9.9,0.00694,440,0.948,0.307,,
1,2,2,160,14.6,0.0066,433,0.84,0.7266,,
1,2,3,240,138.5,0.00703,61,0.902,0.3652,,
1,2,4,320,152.1,0.00353,60,0.965,0.2841,,
1,2,5,400,136.1,0.00986,391,0.954,0.7139,,
1,2,6,480,183.7,0.00349,926,0.968,0.9966,,
1,2,7,560,129.6,0.00128,899,0.949,0.5852,,
1,2,8,640,260,0.00673,1006,0.965,0.2125,,
1,2,9,720,158.8,0.00859,308,0.93,0.7797,,
1,2,10,800,208.8,0.0012,240,0.989,0.551,,
1,2,11,880,178.7,0.00174,914,0.847,0.2388,,
1,2,12,960,163.3,0.00174,914,0.847,0.2388,,
1,2,13,1040,197.3,0.00212,330,0.996,0.4854,,
1,2,14,1120,303.2,0.00143,657,0.963,0.1666,,
1,2,15,1200,140.5,0.00256,865,0.947,0.7869,,
1,2,16,1280,195.4,0.00174,914,0.847,0.2388,,
1,2,17,1360,380.1,0.00174,914,0.847,0.2388,,
1,2,18,1440,219.5,0.00214,1007,0.807,0.9898,,
1,2,19,1520,360.4,0.00034,342,0.999,0.763,,
1,2,20,1600,184.9,0.0009,953,0.813,0.7058,,
1,2,21,1680,192.7,0.00218,1020,0.909,0.6983,,
1,2,22,1760,220.5,0.00315,1023,0.866,0.2016,,
1,2,23,1840,298.5,0.00315,1023,0.866,0.2016,,
1,2,24,1920,295.3,0.00442,1023,0.87,0.5762,,
1,2,25,2000,241.1,0.00442,1023,0.87,0.5762,,
1,2,26,2080,279.2,0.00442,1023,0.87,0.5762,,
1,2,27,2160,313.4,0.00064,74,0.91,0.9838,,
1,2,28,2240,302.7,0.00068,27,0.997,0.8697,,
1,2,29,2320,258.1,0.00104,44,0.958,0.9998,,
