experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
1,1,1,80,17.8,0.00658,383,0.822,0.3043,,
1,1,2,160,15.7,0.00618,490,0.819,0.2426,,
1,1,3,240,480.5,0.0031,17,0.841,0.8022,,
1,1,4,320,500,0.00293,288,0.802,0.5128,,
1,1,,,,,,,,320,27
1,2,1,80,12.8,0.00461,120,0.832,0.1234,,
1,2,2,160,59.8,0.00262,104,0.987,0.8279,,
1,2,3,240,356.1,0.00048,740,0.887,0.6101,,
1,2,4,320,176.2,0.00048,740,0.887,0.6101,,
1,2,5,400,145.4,0.00306,563,0.924,1,,
1,2,6,480,181.9,0.0035,203,0.946,0.5185,,
1,2,7,560,226,0.0011,810,0.972,0.3235,,
1,2,8,640,251.9,0.00082,215,0.996,0.8194,,
1,2,9,720,260,0.00174,749,0.926,0.9479,,
1,2,10,800,239.4,0.00292,235,0.995,0.8519,,
1,2,11,880,132.1,0.00273,153,0.915,0.878,,
1,2,12,960,331.8,0.00466,23,0.939,0.8537,,
1,2,13,1040,140.4,0.00095,329,0.933,0.7885,,
1,2,14,1120,147.4,0.00095,329,0.933,0.7885,,
1,2,15,1200,157.4,0.00095,329,0.933,0.7885,,
1,2,16,1280,170.2,0.00097,815,0.974,0.8856,,
1,2,17,1360,152.4,0.00497,393,0.978,0.8031,,
1,2,18,1440,170.8,0.00328,240,0.984,0.9591,,
1,2,19,1520,170.4,0.00124,171,0.949,0.9204,,
1,2,20,1600,162.5,0.00051,953,0.801,0.8663,,
1,2,21,1680,312.4,0.00082,249,0.876,0.9617,,
1,2,22,1760,284.1,0.00011,594,0.864,0.8922,,
1,2,23,1840,432.9,0.00011,594,0.864,0.8922,,
1,2,24,1920,389.9,0.0002,78,0.929,0.7992,,
1,2,25,2000,424.9,0.0002,78,0.929,0.7992,,
1,2,26,2080,431.5,0.0002,78,0.929,0.7992,,
1,2,27,2160,442,0.00727,879,0.987,0.2564,,
1,2,28,2240,421.8,0.0002,78,0.929,0.7992,,
1,2,29,2320,500,0.00621,1000,0.98,0.7037,,
1,2,,,,,,,,2320,366
1,3,1,80,13,0.00392,820,0.821,0.3908,,
1,3,2,160,33.7,0.0041,202,0.949,0.7626,,
1,3,3,240,500,0.00572,389,0.9,0.6226,,
1,3,,,,,,,,240,21
1,4,1,80,22.9,0.00572,748,0.947,0.3114,,
1,4,2,160,98.9,0.00582,956,0.958,0.1748,,
1,4,3,240,500,0.00531,980,0.849,0.2908,,
1,4,,,,,,,,240,33
1,5,1,80,15.9,0.00457,704,0.948,0.1124,,
1,5,2,160,16.4,0.00705,821,0.929,0.1974,,
1,5,3,240,500,0.00705,821,0.929,0.1974,,
1,5,,,,,,,,240,18
1,6,1,80,18.3,0.00502,514,0.853,0.9445,,
1,6,2,160,78.7,0.00612,120,0.839,0.7867,,
1,6,3,240,500,0.00798,150,0.832,0.6775,,
1,6,,,,,,,,240,22
1,7,1,80,17,0.00163,115,0.893,0.2394,,
1,7,2,160,14.5,0.00952,189,0.969,0.6483,,
1,7,3,240,500,0.00952,189,0.969,0.6483,,
1,7,,,,,,,,240,17
1,8,1,80,9.8,0.00797,441,0.897,0.0369,,
1,8,2,160,10.4,0.00999,368,0.995,0.6413,,
1,8,3,240,33.3,0.00597,364,0.981,0.7966,,
1,8,4,320,164.4,0.00542,183,0.986,0.8622,,
1,8,5,400,230.1,0.00359,927,0.889,0.8842,,
1,8,6,480,159.1,0.00475,655,0.946,0.787,,
1,8,7,560,263.9,0.00359,738,0.967,0.9038,,
1,8,8,640,220.7,0.00665,965,0.933,0.1487,,
1,8,9,720,145,0.00657,900,0.89,0.069,,
1,8,10,800,178.2,0.00638,879,0.93,0.2478,,
1,8,11,880,257.5,0.00638,879,0.93,0.2478,,
1,8,12,960,195.1,0.0041,817,0.931,0.3378,,
1,8,13,1040,273.1,0.00504,687,0.986,0.8632,,
1,8,14,1120,166.7,0.00029,759,0.922,0.9998,,
1,8,15,1200,160.7,0.00203,256,0.815,0.9907,,
1,8,16,1280,232.6,0.00029,833,0.923,0.9771,,
1,8,17,1360,261.1,0.00188,852,0.991,0.9718,,
1,8,18,1440,297.1,0.00289,885,0.995,0.47,,
1,8,19,1520,283.5,0.00289,885,0.995,0.47,,
1,8,20,1600,228.3,0.00029,833,0.923,0.9771,,
1,8,21,1680,184.7,0.00023,812,0.932,0.9548,,
1,8,22,1760,204.1,0.00084,969,0.823,0.2629,,
1,8,23,1840,177.6,0.00023,812,0.932,0.9548,,
1,8,24,1920,307.6,0.00046,562,0.966,0.864,,
1,8,25,2000,296.8,0.0002,569,0.9,0.7533,,
1,8,26,2080,294.7,0.00034,566,0.965,0.9008,,
1,8,27,2160,212.4,0.0001,420,0.884,0.488,,
1,8,28,2240,346.6,0.00017,692,0.987,0.9808,,
1,8,29,2320,425.1,0.00017,692,0.987,0.9808,,
1,8,30,2400,373,0.00017,692,0.987,0.9808,,
1,8,31,2480,146.5,0.00082,753,0.853,0.3562,,
1,8,32,2560,221.4,0.00082,753,0.853,0.3562,,
1,8,33,2640,231.5,0.00107,413,0.854,0.5538,,
1,8,34,2720,273.1,0.0001,531,0.962,0.9775,,
1,8,35,2800,228.4,0.0001,531,0.962,0.9775,,
1,8,36,2880,298.7,0.00033,345,0.906,0.6618,,
1,8,37,2960,315.5,0.00044,717,0.851,0.9355,,
1,8,38,3040,233.7,0.00046,328,0.895,0.6375,,
1,8,39,3120,425.9,0.0001,482,0.945,0.9225,,
1,8,40,3200,500,0.0001,482,0.945,0.9225,,
1,8,,,,,,,,3200,571
1,9,1,80,9.9,0.0065,948,0.807,0.2873,,
1,9,2,160,28.4,0.00959,972,0.953,0.9417,,
1,9,3,240,124.7,0.00715,714,0.888,0.2329,,
1,9,4,320,500,0.00563,1015,0.958,0.6449,,
1,9,,,,,,,,320,44
1,10,1,80,26.4,0.00435,284,0.852,0.4522,,
1,10,2,160,25.2,0.00824,479,0.968,0.7323,,
1,10,3,240,110.1,0.00848,196,0.841,0.5572,,
1,10,4,320,500,0.0027,403,0.812,0.6498,,
1,10,,,,,,,,320,27
1,11,1,80,20.3,0.00944,866,0.914,0.2517,,
1,11,2,160,24.6,0.00962,953,0.96,0.9309,,
1,11,3,240,135.6,0.00506,323,0.976,0.9989,,
1,11,4,320,166.5,0.00327,101,0.875,0.9911,,
1,11,5,400,130.4,0.00107,965,0.876,0.9338,,
1,11,6,480,216,0.00091,644,0.912,0.0546,,
1,11,7,560,194.6,0.00108,515,0.933,0.209,,
1,11,8,640,500,0.00055,401,0.954,0.7879,,
1,11,,,,,,,,640,110
1,12,1,80,11.9,0.00101,302,0.863,0.5434,,
1,12,2,160,21.1,0.00907,897,0.968,0.6853,,
1,12,3,240,500,0.00562,242,0.886,0.706,,
1,12,,,,,,,,240,20
1,13,1,80,10.5,0.00063,533,0.805,0.1295,,
1,13,2,160,41,0.00165,868,0.857,0.2513,,
1,13,3,240,240.4,0.00019,899,0.931,0.3718,,
1,13,4,320,288.1,0.00238,780,0.988,0.9863,,
1,13,5,400,337.8,0.00056,104,0.912,0.9527,,
1,13,6,480,233.5,0.00627,59,0.969,0.8845,,
1,13,7,560,147.4,0.0072,68,0.903,0.9212,,
1,13,8,640,142.2,0.00071,595,0.944,0.8768,,
1,13,9,720,141.9,0.00011,615,0.917,0.9674,,
1,13,10,800,168.1,0.0038,665,0.837,0.9359,,
1,13,11,880,315.5,0.01,552,0.816,0.8854,,
1,13,12,960,422.5,0.00747,444,0.819,0.6146,,
1,13,13,1040,196.5,0.00983,330,0.821,0.8988,,
1,13,14,1120,206.1,0.00752,446,0.839,0.7658,,
1,13,15,1200,178.3,0.00179,272,0.845,0.9999,,
1,13,16,1280,353.7,0.00083,94,0.878,0.8222,,
1,13,17,1360,500,0.00012,252,0.945,0.9782,,
1,13,,,,,,,,1360,166
1,14,1,80,11.4,0.00218,39,0.812,0.5057,,
