experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
Mu05-01,1,1,80,11.1,0.00071,216,0.985,0.7835,,
Mu05-01,1,2,160,16.7,0.00307,534,0.956,0.9972,,
Mu05-01,1,3,240,127.3,0.00942,332,0.905,0.8999,,
Mu05-01,1,4,320,151,0.0087,838,0.934,0.7649,,
Mu05-01,1,5,400,221.4,0.00041,537,0.892,0.8523,,
Mu05-01,1,6,480,497.3,0.00501,1011,0.965,0.1763,,
Mu05-01,1,7,560,500,0.0084,898,0.873,0.9102,,
Mu05-01,1,,,,,,,,560,186
Mu05-01,2,1,80,14.6,0.00135,853,0.903,0.4231,,
Mu05-01,2,2,160,12.9,0.00276,776,0.897,0.6383,,
Mu05-01,2,3,240,411.4,0.00699,920,0.996,0.0691,,
Mu05-01,2,4,320,500,0.00612,581,0.939,0.2773,,
Mu05-01,2,,,,,,,,320,90
Mu05-01,3,1,80,74.6,0.00094,97,0.859,0.7085,,
Mu05-01,3,2,160,31,0.00761,750,0.857,0.7152,,
Mu05-01,3,3,240,191.7,0.00426,479,0.987,0.3116,,
Mu05-01,3,4,320,273.9,0.00393,342,0.997,0.0948,,
Mu05-01,3,5,400,247.5,0.00684,844,0.857,0.9256,,
Mu05-01,3,6,480,190.7,0.00124,877,0.982,0.8096,,
Mu05-01,3,7,560,242.1,0.00426,479,0.987,0.3116,,
Mu05-01,3,8,640,204.3,0.00426,479,0.987,0.3116,,
Mu05-01,3,9,720,236.6,0.00575,708,0.874,0.6987,,
Mu05-01,3,10,800,328.1,0.00864,935,0.965,0.891,,
Mu05-01,3,11,880,209.7,0.00898,952,0.94,0.9292,,
Mu05-01,3,12,960,318,0.00995,691,0.853,0.6229,,
Mu05-01,3,13,1040,333.7,0.0097,551,0.86,0.4793,,
Mu05-01,3,14,1120,239.4,0.00614,1023,0.887,0.5673,,
Mu05-01,3,15,1200,354.2,0.00938,826,0.99,0.7382,,
Mu05-01,3,16,1280,379.6,0.00938,826,0.99,0.7382,,
Mu05-01,3,17,1360,500,0.00887,381,0.984,0.9428,,
Mu05-01,3,,,,,,,,1360,521
Mu05-01,4,1,80,14.5,0.00498,121,0.884,0.1611,,
