experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
batch16_D2,1,1,80,30.8,0.00763,287,0.87,0.2354,,
batch16_D2,1,2,160,47.5,0.00621,752,0.981,0.9097,,
batch16_D2,1,3,240,438.8,0.00982,394,0.886,0.6227,,
batch16_D2,1,4,320,500,0.00692,686,0.942,0.9337,,
batch16_D2,1,,,,,,,,320,126
batch16_D3,1,1,80,9.8,0.00697,459,0.951,0.5999,,
batch16_D3,1,2,160,24.3,0.01,524,0.938,0.8965,,
batch16_D3,1,3,240,111.2,0.00368,363,0.869,0.5949,,
batch16_D3,1,4,320,178.3,0.00656,822,0.963,0.1736,,
batch16_D3,1,5,400,500,0.00743,748,0.998,0.4171,,
batch16_D3,1,,,,,,,,400,295
batch16_D3,2,1,80,13.5,0.00042,818,0.911,0.0593,,
batch16_D3,2,2,160,20.2,0.00953,337,0.807,0.9611,,
batch16_D3,2,3,240,127.8,0.00953,337,0.807,0.9611,,
batch16_D3,2,4,320,211.9,0.00902,834,0.857,0.31,,
batch16_D3,2,5,400,216.6,0.00943,661,0.884,0.1949,,
batch16_D3,2,6,480,167.6,0.00981,940,0.871,0.6625,,
batch16_D3,2,7,560,174.8,0.00243,624,0.996,0.7734,,
batch16_D3,2,8,640,242.4,0.00522,1023,0.82,0.0333,,
batch16_D3,2,9,720,436.6,0.00232,635,0.97,0.9979,,
batch16_D3,2,10,800,500,0.00232,635,0.97,0.9979,,
batch16_D3,2,,,,,,,,800,559
batch16_D3,3,1,80,12.3,0.00317,47,0.952,0.722,,
batch16_D3,3,2,160,47,0.00317,47,0.952,0.722,,
batch16_D3,3,3,240,360.7,0.00317,47,0.952,0.722,,
batch16_D3,3,4,320,473.4,0.00184,944,0.974,0.9392,,
batch16_D3,3,5,400,500,0.0013,547,0.945,0.5709,,
batch16_D3,3,,,,,,,,400,278
batch16_D2,2,1,80,10.7,0.0084,563,0.903,0.0619,,
batch16_D2,2,2,160,22.8,0.00211,214,0.982,0.8473,,
batch16_D2,2,3,240,158.9,0.00039,446,0.914,0.2344,,
batch16_D2,2,4,320,447.8,0.00281,391,0.976,0.9508,,
batch16_D2,2,5,400,237.1,0.00302,894,0.983,0.3563,,
batch16_D2,2,6,480,480.5,0.00223,227,0.987,0.0755,,
batch16_D2,2,7,560,322.3,0.00235,101,0.956,0.9182,,
batch16_D2,2,8,640,315.3,0.00035,175,0.981,0.8499,,
batch16_D2,2,9,720,248.5,0.00035,175,0.981,0.8499,,
batch16_D2,2,10,800,231.9,0.0004,407,0.994,0.8718,,
batch16_D2,2,11,880,478.9,0.00181,75,0.929,0.9428,,
batch16_D2,2,12,960,280.1,0.0005,130,0.894,0.9449,,
batch16_D2,2,13,1040,473.6,0.0004,407,0.994,0.8718,,
batch16_D2,2,14,1120,500,0.0004,407,0.994,0.8718,,
batch16_D2,2,,,,,,,,1120,1047
batch16_D3,4,1,80,22.9,0.0031,767,0.839,0.2341,,
batch16_D3,4,2,160,19.3,0.00738,544,0.817,0.5071,,
batch16_D3,4,3,240,148.6,0.00715,182,0.972,0.8547,,
batch16_D3,4,4,320,188.6,0.00469,1015,0.964,0.6431,,
batch16_D3,4,5,400,500,0.00984,663,0.954,1,,
batch16_D3,4,,,,,,,,400,155
batch16_D2,3,1,80,41.6,0.00991,684,0.893,0.5426,,
batch16_D2,3,2,160,38.2,0.00639,888,0.858,0.7814,,
batch16_D2,3,3,240,138.9,0.00639,888,0.858,0.7814,,
batch16_D2,3,4,320,157.6,0.00514,952,0.86,0.7679,,
batch16_D2,3,5,400,238.8,0.00012,511,0.876,0.0484,,
batch16_D2,3,6,480,500,0.00019,334,0.964,0.8046,,
batch16_D2,3,,,,,,,,480,308
batch16_D3,5,1,80,17.8,0.00804,204,0.887,0.8249,,
batch16_D3,5,2,160,23.2,0.0029,842,0.927,0.9711,,
batch16_D3,5,3,240,177.1,0.00431,364,0.808,0.3902,,
batch16_D3,5,4,320,236.8,0.00682,45,0.802,0.9937,,
batch16_D3,5,5,400,500,0.00682,45,0.802,0.9937,,
batch16_D3,5,,,,,,,,400,219
batch16_D1,1,1,80,26.4,0.00211,206,0.904,0.8868,,
batch16_D1,1,2,160,116.4,0.00659,36,0.855,0.9789,,
batch16_D1,1,3,240,179.8,0.00348,816,0.918,0.7298,,
batch16_D1,1,4,320,118.4,0.00743,963,0.864,0.6775,,
batch16_D1,1,5,400,282.3,0.00399,1023,0.994,0.6657,,
batch16_D1,1,6,480,295.2,0.00458,138,0.921,0.8844,,
batch16_D1,1,7,560,242.2,0.00458,138,0.921,0.8844,,
batch16_D1,1,8,640,136.6,0.00243,278,0.912,0.8769,,
batch16_D1,1,9,720,124.2,0.00505,169,0.924,0.9706,,
batch16_D1,1,10,800,174,0.0068,957,0.997,0.5455,,
batch16_D1,1,11,880,133.1,0.00198,331,0.994,0.2812,,
batch16_D1,1,12,960,127.8,0.00652,544,0.995,0.8767,,
batch16_D1,1,13,1040,117.1,0.00189,16,0.991,0.8593,,
batch16_D1,1,14,1120,118.3,0.00189,16,0.991,0.8593,,
batch16_D1,1,15,1200,113.2,0.00189,16,0.991,0.8593,,
batch16_D1,1,16,1280,133.4,0.00539,83,0.999,0.5833,,
batch16_D1,1,17,1360,245.5,0.00539,83,0.999,0.5833,,
batch16_D1,1,18,1440,146.4,0.00905,82,0.988,0.0306,,
batch16_D1,1,19,1520,216,0.00418,129,0.883,0.9253,,
batch16_D1,1,20,1600,155.7,0.00645,100,0.9,0.9594,,
batch16_D1,1,21,1680,139.8,0.00118,76,0.999,0.9029,,
batch16_D1,1,22,1760,105.9,0.00408,682,0.991,0.9985,,
batch16_D1,1,23,1840,98.7,0.00043,1009,0.964,0.8427,,
batch16_D1,1,24,1920,144.2,0.00399,891,0.858,0.0272,,
batch16_D1,1,25,2000,122.8,0.00364,101,0.985,0.9978,,
batch16_D1,1,26,2080,113.4,0.00708,941,0.887,0.1546,,
batch16_D1,1,27,2160,157.6,0.00719,975,0.873,0.0438,,
batch16_D1,1,28,2240,402.7,0.00644,1012,0.846,0.1154,,
batch16_D1,1,29,2320,221.8,0.00999,963,0.984,0.9437,,
batch16_D1,1,30,2400,500,0.00857,910,0.972,0.8856,,
batch16_D1,1,,,,,,,,2400,1736
batch16_D1,2,1,80,25.1,0.00161,27,0.845,0.5931,,
batch16_D1,2,2,160,17.9,0.0072,859,0.878,0.5919,,
batch16_D1,2,3,240,94.3,0.00718,967,0.865,0.7122,,
batch16_D1,2,4,320,172.9,0.00789,728,0.886,0.668,,
batch16_D1,2,5,400,162.1,0.00481,520,0.867,0.8931,,
batch16_D1,2,6,480,200.8,0.00638,764,0.99,0.8988,,
batch16_D1,2,7,560,138.8,0.0035,941,0.991,0.5589,,
batch16_D1,2,8,640,500,0.0035,941,0.991,0.5589,,
batch16_D1,2,,,,,,,,640,407
batch16_D3,6,1,80,26.2,0.00675,554,0.897,0.9647,,
batch16_D3,6,2,160,107.6,0.00732,783,0.994,0.4974,,
batch16_D3,6,3,240,232.2,0.00543,717,0.912,0.5378,,
batch16_D3,6,4,320,260.1,0.00575,179,0.945,0.6592,,
batch16_D3,6,5,400,173,0.00846,878,0.843,0.1563,,
batch16_D3,6,6,480,305.1,0.00416,692,0.846,0.0877,,
batch16_D3,6,7,560,197.8,0.00793,549,0.963,0.9999,,
batch16_D3,6,8,640,228.3,0.00543,717,0.912,0.5378,,
batch16_D3,6,9,720,260.3,0.00326,430,0.917,0.8571,,
batch16_D3,6,10,800,224,0.00152,554,0.923,0.989,,
batch16_D3,6,11,880,204.1,0.00751,383,0.815,0.7957,,
batch16_D3,6,12,960,500,0.00989,74,0.905,0.9783,,
batch16_D3,6,,,,,,,,960,709
batch16_D1,3,1,80,10.7,0.00287,625,0.918,0.1821,,
batch16_D1,3,2,160,35.9,0.00557,38,0.947,0.6034,,
batch16_D1,3,3,240,128.9,0.00195,46,0.969,0.5904,,
batch16_D1,3,4,320,323,0.00907,112,0.888,0.7877,,
batch16_D1,3,5,400,500,0.00195,46,0.969,0.5904,,
batch16_D1,3,,,,,,,,400,196
batch16_D1,4,1,80,11.9,0.00296,78,0.801,0.3144,,
batch16_D1,4,2,160,38,0.00275,421,0.951,0.9046,,
batch16_D1,4,3,240,259.6,0.0061,804,0.94,0.4807,,
batch16_D1,4,4,320,500,0.00659,906,0.934,0.3097,,
batch16_D1,4,,,,,,,,320,180
batch16_D1,5,1,80,12.6,0.00382,398,0.836,0.6424,,
batch16_D1,5,2,160,19.9,0.00162,871,0.938,0.792,,
batch16_D1,5,3,240,331.1,0.0023,319,0.97,0.3636,,
batch16_D1,5,4,320,427.6,0.00789,298,0.99,0.0271,,
batch16_D1,5,5,400,500,0.00789,298,0.99,0.0271,,
batch16_D1,5,,,,,,,,400,234
batch16_D1,6,1,80,9.7,0.00738,854,0.834,0.7097,,
batch16_D1,6,2,160,19.4,0.00824,438,0.967,0.9042,,
batch16_D1,6,3,240,34,0.00985,46,0.824,0.9455,,
batch16_D1,6,4,320,500,0.00064,247,0.813,0.6676,,
batch16_D1,6,,,,,,,,320,129
batch16_D2,4,1,80,11.2,0.00463,308,0.938,0.9135,,
batch16_D2,4,2,160,20.2,0.00583,850,0.923,0.0356,,
batch16_D2,4,3,240,175.8,0.00543,757,0.915,0.8622,,
batch16_D2,4,4,320,145.7,0.00347,1020,0.941,0.8413,,
batch16_D2,4,5,400,348,0.00294,858,0.877,0.6112,,
batch16_D2,4,6,480,439.5,0.00294,858,0.877,0.6112,,
batch16_D2,4,7,560,254.7,0.00294,858,0.877,0.6112,,
batch16_D2,4,8,640,218.2,0.00232,677,0.868,0.4886,,
batch16_D2,4,9,720,202.6,0.00042,406,0.984,0.8252,,
batch16_D2,4,10,800,154.4,0.00042,406,0.984,0.8252,,
batch16_D2,4,11,880,157.8,0.00291,67,0.969,0.8468,,
batch16_D2,4,12,960,143.1,0.00093,141,0.964,0.7566,,
batch16_D2,4,13,1040,120.2,0.00026,214,0.988,0.5878,,
batch16_D2,4,14,1120,121,0.0021,445,0.866,0.4242,,
batch16_D2,4,15,1200,117.9,0.00919,737,0.8,0.3791,,
batch16_D2,4,16,1280,189,0.00065,205,0.984,0.9989,,
batch16_D2,4,17,1360,120.7,0.00882,971,0.839,0.692,,
batch16_D2,4,18,1440,113.1,0.00462,963,0.979,0.0266,,
batch16_D2,4,19,1520,103.4,0.00186,896,0.914,0.6862,,
batch16_D2,4,20,1600,143.6,0.00011,17,0.983,0.2773,,
batch16_D2,4,21,1680,127.8,0.00294,27,0.951,0.8596,,
batch16_D2,4,22,1760,110.5,0.00174,125,0.909,0.7857,,
batch16_D2,4,23,1840,465,0.00576,189,0.983,0.6278,,
batch16_D2,4,24,1920,184.3,0.00638,1008,0.822,0.912,,
batch16_D2,4,25,2000,358.6,0.00616,326,0.971,0.6291,,
batch16_D2,4,26,2080,98.4,0.00621,850,0.949,0.5115,,
batch16_D2,4,27,2160,154.7,0.00335,128,0.99,0.8094,,
batch16_D2,4,28,2240,159.7,0.00724,86,0.961,0.6947,,
batch16_D2,4,29,2320,107.9,0.00724,86,0.961,0.6947,,
batch16_D2,4,30,2400,186.8,0.00761,214,0.977,0.6641,,
batch16_D2,4,31,2480,131.5,0.0092,281,0.996,0.7968,,
batch16_D2,4,32,2560,253.6,0.00447,107,0.989,0.6733,,
batch16_D2,4,33,2640,336.8,0.00207,246,0.996,0.6752,,
batch16_D2,4,34,2720,285,0.00273,200,0.997,0.71,,
batch16_D2,4,35,2800,491,0.00138,457,0.986,0.4565,,
batch16_D2,4,36,2880,455.3,0.00074,239,0.999,0.6705,,
batch16_D2,4,37,2960,473.8,0.00012,646,0.992,0.6429,,
batch16_D2,4,38,3040,500,0.00066,570,0.991,0.5089,,
batch16_D2,4,,,,,,,,3040,1931
batch16_D1,7,1,80,11,0.00944,315,0.963,0.9303,,
batch16_D1,7,2,160,23.1,0.00999,40,0.998,0.7529,,
batch16_D1,7,3,240,124.7,0.00512,147,0.909,0.7977,,
batch16_D1,7,4,320,156.9,0.00347,691,0.973,0.2475,,
batch16_D1,7,5,400,220.8,0.00347,691,0.973,0.2475,,
batch16_D1,7,6,480,202,0.00347,691,0.973,0.2475,,
batch16_D1,7,7,560,254.7,0.00125,1016,0.937,0.0508,,
batch16_D1,7,8,640,500,0.00497,820,0.988,0.0106,,
batch16_D1,7,,,,,,,,640,551
batch16_D1,8,1,80,28.6,0.00471,617,0.826,0.9048,,
batch16_D1,8,2,160,107.1,0.0061,582,0.831,0.7584,,
batch16_D1,8,3,240,175.6,0.0061,582,0.831,0.7584,,
batch16_D1,8,4,320,307.4,0.00602,366,0.846,0.5678,,
batch16_D1,8,5,400,405.4,0.00777,279,0.94,0.8883,,
batch16_D1,8,6,480,235.1,0.00681,1022,0.952,0.9137,,
batch16_D1,8,7,560,500,0.00893,708,0.913,0.4915,,
batch16_D1,8,,,,,,,,560,384
batch16_D3,7,1,80,19.4,0.00677,344,0.871,0.3855,,
batch16_D3,7,2,160,19.9,0.00832,776,0.963,0.9235,,
