experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
1,1,1,80,17.5,0.00798,33,0.821,0.8967,,
1,1,2,160,29.4,0.00622,886,0.856,0.9994,,
1,1,3,240,79.2,0.00622,886,0.856,0.9994,,
1,1,4,320,466.8,0.00639,616,0.829,0.9282,,
1,1,5,400,338.4,0.00676,992,0.842,0.9349,,
1,1,6,480,494.3,0.00676,992,0.842,0.9349,,
1,1,7,560,500,0.00937,459,0.827,0.9673,,
1,1,,,,,,,,560,67
1,2,1,80,11.2,0.00783,392,0.923,0.2844,,
1,2,2,160,14.8,0.00757,661,0.922,0.5995,,
1,2,3,240,131.7,0.00882,558,0.992,0.4963,,
1,2,4,320,314.3,0.00756,410,0.936,0.6142,,
1,2,5,400,500,0.0036,701,0.999,0.6695,,
1,2,,,,,,,,400,40
1,3,1,80,10.9,0.00886,955,0.946,0.3216,,
1,3,2,160,16.6,0.0048,857,0.955,0.3333,,
1,3,3,240,116.1,0.00999,98,0.861,0.1632,,
1,3,4,320,174.2,0.0079,596,0.804,0.7334,,
1,3,5,400,147.9,0.00464,976,0.803,0.0788,,
1,3,6,480,146.7,0.00993,205,0.992,0.0454,,
1,3,7,560,269.5,0.00613,851,0.84,0.5241,,
1,3,8,640,140.5,0.00832,915,0.841,0.782,,
1,3,9,720,199.7,0.00308,981,0.836,0.5757,,
1,3,10,800,185.3,0.00227,1019,0.834,0.5092,,
1,3,11,880,138,0.00803,730,0.836,0.4512,,
1,3,12,960,265.3,0.00356,1018,0.831,0.6885,,
1,3,13,1040,151.7,0.00074,1017,0.822,0.8779,,
1,3,14,1120,138.6,0.00036,820,0.811,0.8218,,
1,3,15,1200,138.8,0.00143,1023,0.802,0.6907,,
1,3,16,1280,276.5,0.00887,102,0.8,0.1862,,
1,3,17,1360,129.2,0.00887,102,0.8,0.1862,,
1,3,18,1440,113.2,0.00581,948,0.847,0.6888,,
1,3,19,1520,194.1,0.00067,1022,0.814,0.2113,,
1,3,20,1600,108.1,0.00069,991,0.823,0.0513,,
1,3,21,1680,159.4,0.00596,66,0.995,0.9575,,
1,3,22,1760,500,0.00977,16,0.971,0.5366,,
1,3,,,,,,,,1760,310
1,4,1,80,22.4,0.00297,786,0.892,0.7894,,
1,4,2,160,35.9,0.00838,768,0.986,0.8947,,
1,4,3,240,105.2,0.00783,114,0.945,0.7496,,
1,4,4,320,274,0.00465,464,0.966,0.9506,,
