experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A2,1,1,160,-22.72847855,0.00325,287,0.848,0.3959,,
A2,1,2,320,49.5372114803801,0.00325,287,0.848,0.3959,,
A2,1,3,480,37.9169634150898,0.00104,960,0.827,0.238,,
A2,1,4,640,-14.88548585,0.01,1022,0.873,0.4887,,
A2,1,5,800,-43.76199052,0.00378,804,0.849,0.6981,,
A2,1,6,960,196.866232986446,0.00902,285,0.992,0.108,,
A2,1,7,1120,260.595279,0.00902,285,0.992,0.108,,
A2,1,,,,,,,,1120,587
A1,1,1,160,-72.88164924,0.00999,513,0.964,0.7178,,
A1,1,2,320,32.9640902018349,0.00999,513,0.964,0.7178,,
A1,1,3,480,-9.516573952,0.00163,24,0.923,0.9403,,
A1,1,4,640,-77.58953924,0.00163,24,0.923,0.9403,,
A1,1,5,800,-75.79810539,0.00862,741,0.906,0.1824,,
A1,1,6,960,31.5230448391642,0.01,838,0.994,0.4464,,
A1,1,7,1120,134.560667035324,0.00912,897,0.999,0.5417,,
A1,1,8,1280,220.499480505921,0.01,838,0.994,0.4464,,
A1,1,,,,,,,,1280,657
A1,2,1,160,-87.88228748,0.00794,822,0.808,0.2682,,
A1,2,2,320,138.886690790115,0.00715,617,0.995,0.2154,,
A1,2,3,480,114.929305117258,0.00227,210,0.98,0.8077,,
A1,2,4,640,161.967211368684,0.00088,780,0.982,0.5205,,
A1,2,5,800,202.501837350298,0.00227,210,0.98,0.8077,,
A1,2,,,,,,,,800,449
A2,2,1,160,-60.19617385,0.00778,154,0.92,0.4837,,
A2,2,2,320,-7.848780528,0.00778,154,0.92,0.4837,,
A2,2,3,480,-61.68021058,0.01,408,0.865,0.791,,
A2,2,4,640,-73.45096103,0.00687,942,0.999,0.8514,,
A2,2,5,800,-88.37732767,0.00869,563,0.897,0.844,,
A2,2,6,960,108.70840936101,0.00995,255,0.995,0.0477,,
A2,2,7,1120,159.371357891055,0.0098,991,0.982,0.3583,,
A2,2,8,1280,213.205117167323,0.00995,255,0.995,0.0477,,
A2,2,,,,,,,,1280,647
A1,3,1,160,-50.55096429,0.00406,208,0.959,0.3832,,
A1,3,2,320,-37.58405125,0.00497,364,0.872,0.7876,,
A1,3,3,480,-10.94808693,0.00782,1013,0.991,0.3786,,
A1,3,4,640,123.722913095683,0.00608,973,0.992,0.3203,,
A1,3,5,800,184.993983956961,0.00608,973,0.992,0.3203,,
A1,3,6,960,193.726544539081,0.00608,973,0.992,0.3203,,
A1,3,7,1120,127.955266789106,0.00956,976,0.968,0.2579,,
A1,3,8,1280,266.234861676227,0.00868,723,0.945,0.9324,,
A1,3,,,,,,,,1280,646
A2,3,1,160,-93.80343015,0.00642,807,0.968,0.7822,,
A2,3,2,320,-60.10758069,0.00375,555,0.935,0.9998,,
A2,3,3,480,-85.99342953,0.00203,185,0.951,0.1885,,
A2,3,4,640,-78.22577671,0.00971,405,0.988,0.4064,,
A2,3,5,800,18.38119807,0.00971,405,0.988,0.4064,,
A2,3,6,960,154.794673998066,0.00971,405,0.988,0.4064,,
A2,3,7,1120,247.892279542119,0.00999,741,0.995,0.3655,,
A2,3,,,,,,,,1120,622
A1,4,1,160,-119.1498954,0.00602,292,0.963,0.2711,,
A1,4,2,320,-98.21628882,0.00609,855,0.853,0.3588,,
A1,4,3,480,-27.1688595,0.00618,821,0.934,0.6074,,
A1,4,4,640,44.2816095759131,0.00495,976,0.997,0.0679,,
A1,4,5,800,220.822185558867,0.00495,976,0.997,0.0679,,
A1,4,,,,,,,,800,448
A1,5,1,160,-31.4992266,0.00813,351,0.903,0.0409,,
A1,5,2,320,-11.41216936,0.00542,479,0.998,0.7411,,
A1,5,3,480,98.9141370421748,0.00981,779,0.804,0.0333,,
A1,5,4,640,41.6609278411375,0.00341,809,0.999,0.1186,,
A1,5,5,800,59.5187137210936,0.00385,824,0.998,0.1366,,
A1,5,6,960,199.077006298109,0.0042,956,0.992,0.5237,,
A1,5,7,1120,252.36685487562,0.00341,809,0.999,0.1186,,
A1,5,,,,,,,,1120,859
A1,6,1,160,-129.3619227,0.00059,415,0.874,0.2626,,
A1,6,2,320,-54.40726996,0.00065,599,0.936,0.4329,,
A1,6,3,480,-18.0076341,0.00693,449,0.969,0.1677,,
A1,6,4,640,198.571161037127,0.00636,634,0.987,0.0696,,
A1,6,5,800,265.67502071387,0.00636,634,0.987,0.0696,,
A1,6,,,,,,,,800,689
A1,7,1,160,32.2771053137779,0.0048,119,0.88,0.186,,
A1,7,2,320,-115.5432491,0.00419,109,0.919,0.1681,,
A1,7,3,480,-68.72508663,0.00419,109,0.919,0.1681,,
A1,7,4,640,-58.80440524,0.00419,109,0.919,0.1681,,
A1,7,5,800,2.11127644436103,0.00419,109,0.919,0.1681,,
A1,7,6,960,88.4370759804449,0.00884,326,0.975,0.2703,,
A1,7,7,1120,131.3256137,0.0055,90,0.988,0.4321,,
A1,7,8,1280,192.331523928417,0.0055,90,0.988,0.4321,,
A1,7,9,1440,236.267009461458,0.0055,90,0.988,0.4321,,
A1,7,,,,,,,,1440,1220
A2,4,1,160,-128.45702,0.00852,1004,0.892,0.014,,
A2,4,2,320,-96.17632742,0.00719,706,0.926,0.4604,,
A2,4,3,480,14.4197486530119,0.00512,973,0.83,0.6917,,
A2,4,4,640,-37.0999686,0.00042,942,0.977,0.0372,,
A2,4,5,800,-37.41568045,0.00247,977,0.961,0.6726,,
A2,4,6,960,-29.88802056,0.00042,942,0.977,0.0372,,
A2,4,7,1120,-8.399010265,0.00042,942,0.977,0.0372,,
A2,4,8,1280,12.1469388441266,0.00042,942,0.977,0.0372,,
A2,4,9,1440,98.9342465914855,0.00042,942,0.977,0.0372,,
A2,4,10,1600,151.961346637555,0.00432,609,0.989,0.9453,,
A2,4,11,1760,135.172112472378,0.00969,180,0.996,0.6112,,
A2,4,12,1920,129.045342345234,0.00803,1010,0.989,0.7915,,
A2,4,13,2080,178.422834505882,0.00472,652,0.99,0.7336,,
A2,4,14,2240,35.3889313805283,0.00374,928,0.999,0.8832,,
A2,4,15,2400,68.2920322377712,0.00295,916,0.992,0.2066,,
A2,4,16,2560,42.1804318465589,0.00835,642,0.982,0.7644,,
A2,4,17,2720,69.2506224577084,0.00768,911,0.999,0.9326,,
A2,4,18,2880,24.2975319395407,0.00905,871,0.983,0.5517,,
A2,4,19,3040,117.873718242397,0.00295,916,0.992,0.2066,,
A2,4,20,3200,-3.238602055,0.00295,916,0.992,0.2066,,
A2,4,21,3360,96.6077700712636,0.00632,184,0.997,0.776,,
A2,4,22,3520,97.39908209,0.00638,414,0.99,0.8825,,
A2,4,23,3680,116.377636466531,0.00031,866,0.986,0.9157,,
A2,4,24,3840,132.538122594502,0.00155,429,0.992,0.882,,
A2,4,25,4000,101.13936479215,0.00056,776,0.997,0.9999,,
A2,4,26,4160,112.753461785278,0.00674,817,0.999,0.3597,,
A2,4,27,4320,113.37897982789,0.00879,275,0.972,0.9987,,
A2,4,28,4480,6.63037850984318,0.0002,996,0.955,0.8886,,
A2,4,29,4640,5.06968544710465,0.00184,980,0.997,0.2094,,
A2,4,30,4800,22.3886072971283,0.00184,980,0.997,0.2094,,
A2,4,31,4960,37.049528647174,0.00184,980,0.997,0.2094,,
A2,4,32,5120,41.4965463571798,0.00246,974,0.999,0.9785,,
A2,4,33,5280,57.1017563530608,0.00246,974,0.999,0.9785,,
A2,4,34,5440,67.67924113,0.00464,536,0.999,0.4137,,
A2,4,35,5600,15.5286770918427,0.00464,536,0.999,0.4137,,
A2,4,36,5760,18.5582905736224,0.00935,1023,0.85,0.995,,
A2,4,37,5920,34.9173796826859,0.0094,929,0.981,0.8987,,
A2,4,38,6080,-3.147519553,0.00908,1008,0.977,0.4148,,
A2,4,39,6240,196.620062811039,0.0022,723,0.999,0.14,,
A2,4,40,6400,249.469483665535,0.00338,771,0.989,0.0253,,
A2,4,,,,,,,,6400,3799
A1,8,1,160,-57.39778647,0.005,170,0.803,0.1099,,
A1,8,2,320,-8.380486525,0.00912,185,0.826,0.4292,,
A1,8,3,480,-20.30007614,0.01,867,0.988,0.1416,,
A1,8,4,640,33.2170309675409,0.01,867,0.988,0.1416,,
A1,8,5,800,-19.0177123,0.01,867,0.988,0.1416,,
