experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A1,1,1,160,-56.3458346,0.00275,220,0.832,0.8298,,
A1,1,2,320,101.213220330811,0.0094,818,0.919,0.3575,,
A1,1,3,480,-71.49331669,0.00194,947,0.9,0.9575,,
A1,1,4,640,-86.9852474,0.00445,719,0.872,0.7392,,
A1,1,5,800,-28.80485317,0.00445,719,0.872,0.7392,,
A1,1,6,960,52.58246306589,0.00742,870,0.977,0.417,,
A1,1,7,1120,211.589791233161,0.00742,870,0.977,0.417,,
A1,1,,,,,,,,1120,521
A2,1,1,160,-34.26456775,0.0094,99,0.836,0.1572,,
A2,1,2,320,-28.61582841,0.00748,144,0.94,0.6864,,
A2,1,3,480,-37.66213838,0.0074,412,0.953,0.4585,,
A2,1,4,640,-40.14675964,0.00293,37,0.967,0.6633,,
A2,1,5,800,55.5331607477109,0.00675,899,0.995,0.7522,,
A2,1,6,960,32.7222319770065,0.00675,899,0.995,0.7522,,
A2,1,7,1120,45.4888503640128,0.00675,899,0.995,0.7522,,
A2,1,8,1280,137.517176895476,0.00675,899,0.995,0.7522,,
A2,1,9,1440,187.642196472049,0.00714,904,0.99,0.3652,,
A2,1,10,1600,170.225750971601,0.00714,904,0.99,0.3652,,
A2,1,11,1760,257.038750794815,0.00566,588,0.988,0.9664,,
A2,1,,,,,,,,1760,808
A1,2,1,160,-114.5121992,0.00104,415,0.987,0.1438,,
A1,2,2,320,-65.43186943,0.00699,707,0.884,0.1717,,
A1,2,3,480,16.46881219,0.00735,668,0.981,0.2203,,
A1,2,4,640,249.0698352,0.00735,668,0.981,0.2203,,
A1,2,,,,,,,,640,358
A2,2,1,160,-32.57843852,0.00567,898,0.907,0.9156,,
A2,2,2,320,-29.71128082,0.0058,497,0.977,0.4533,,
A2,2,3,480,-60.1592943,0.00241,772,0.929,0.6347,,
A2,2,4,640,0.355516852071742,0.00694,231,0.993,0.04,,
A2,2,5,800,212.875962638848,0.00694,231,0.993,0.04,,
A2,2,,,,,,,,800,357
A1,3,1,160,-23.61654194,0.00945,822,0.831,0.653,,
A1,3,2,320,-14.07805954,0.00642,518,0.889,0.9272,,
A1,3,3,480,-80.37930512,0.00642,518,0.889,0.9272,,
A1,3,4,640,14.7751351460208,0.00642,518,0.889,0.9272,,
A1,3,5,800,-11.94502761,0.00642,518,0.889,0.9272,,
A1,3,6,960,0.62107962590691,0.00262,477,0.996,0.8522,,
A1,3,7,1120,66.74201598,0.00999,740,0.958,0.0869,,
A1,3,8,1280,23.5272502950751,0.00451,927,0.978,0.6948,,
A1,3,9,1440,18.8557148570644,0.00451,927,0.978,0.6948,,
A1,3,10,1600,78.2680745216914,0.00451,927,0.978,0.6948,,
A1,3,11,1760,128.766862396284,0.00451,927,0.978,0.6948,,
A1,3,12,1920,221.395024971069,0.00525,736,0.998,0.3623,,
A1,3,,,,,,,,1920,798
A2,3,1,160,-64.89530355,0.00268,435,0.82,0.8802,,
A2,3,2,320,-92.40197681,0.00661,888,0.884,0.2007,,
A2,3,3,480,-69.21769465,0.00217,478,0.998,0.9064,,
A2,3,4,640,-21.84275867,0.00305,667,0.996,0.4511,,
A2,3,5,800,9.947402187,0.0028,479,0.989,0.435,,
A2,3,6,960,174.241215128111,0.00523,425,0.974,0.19,,
A2,3,7,1120,245.4288886,0.0093,1001,0.993,0.9609,,
A2,3,,,,,,,,1120,563
A2,4,1,160,-130.8998457,0.0057,637,0.863,0.5893,,
A2,4,2,320,-99.18723592,0.0078,685,0.941,0.9467,,
A2,4,3,480,-68.08316139,0.0015,890,0.986,0.1814,,
A2,4,4,640,-24.54468316,0.00412,714,0.98,0.0804,,
A2,4,5,800,5.36084442195702,0.0015,890,0.986,0.1814,,
A2,4,6,960,40.0691853637159,0.00412,714,0.98,0.0804,,
A2,4,7,1120,143.198741563247,0.00585,960,0.997,0.6875,,
A2,4,8,1280,248.724002258192,0.0027,1021,0.996,0.2834,,
A2,4,,,,,,,,1280,927
A1,4,1,160,-73.44957859,0.00047,299,0.816,0.8209,,
A1,4,2,320,21.7030755548047,0.00792,914,0.857,0.469,,
A1,4,3,480,-19.49194008,0.00641,138,0.817,0.3957,,
A1,4,4,640,23.965200909067,0.00176,775,0.806,0.5722,,
A1,4,5,800,-20.36061225,0.00641,138,0.817,0.3957,,
A1,4,6,960,16.2160156361028,0.00809,729,0.815,0.653,,
A1,4,7,1120,11.4452207831574,0.00117,966,0.809,0.932,,
A1,4,8,1280,130.108868107106,0.00176,775,0.806,0.5722,,
A1,4,9,1440,54.3799581003395,0.00176,775,0.806,0.5722,,
A1,4,10,1600,7.88284185953497,0.00865,906,0.805,0.9922,,
A1,4,11,1760,13.6767959701161,0.00229,741,0.819,0.5182,,
A1,4,12,1920,88.23749139,0.00027,939,0.806,0.8856,,
A1,4,13,2080,33.7013296740764,0.00443,1023,0.805,0.832,,
A1,4,14,2240,35.806106404804,0.00027,939,0.806,0.8856,,
A1,4,15,2400,123.698365551985,0.00279,952,0.818,0.8801,,
A1,4,16,2560,31.9184043815314,0.00018,516,0.801,0.8191,,
A1,4,17,2720,62.1108917911356,0.00018,516,0.801,0.8191,,
A1,4,18,2880,-27.65343143,0.00023,264,0.943,0.9549,,
A1,4,19,3040,13.7789384165655,0.00778,873,0.996,0.7851,,
A1,4,20,3200,-65.56981232,0.00099,959,0.84,0.9906,,
A1,4,21,3360,-49.94151621,0.00165,20,0.955,0.883,,
A1,4,22,3520,-27.28627477,0.00851,973,0.942,0.7599,,
A1,4,23,3680,3.28370035535416,0.00975,974,0.975,0.6672,,
A1,4,24,3840,124.39839035818,0.00807,231,0.979,0.0872,,
A1,4,25,4000,231.926506612777,0.00297,1010,0.987,0.0902,,
A1,4,,,,,,,,4000,1569
A2,5,1,160,-101.8231415,0.00899,833,0.855,0.4841,,
A2,5,2,320,-72.81955157,0.00076,71,0.946,0.1932,,
A2,5,3,480,-70.16289967,0.00866,892,0.972,0.9298,,
A2,5,4,640,-61.52046107,0.00834,279,0.816,0.8171,,
A2,5,5,800,-57.29882499,0.00488,693,0.946,0.1592,,
A2,5,6,960,-17.49132959,0.00051,834,0.964,0.0393,,
A2,5,7,1120,137.854458242809,0.00226,816,0.991,0.0866,,
A2,5,8,1280,185.184665441948,0.00816,630,0.974,0.8031,,
A2,5,9,1440,280.852227518019,0.00226,816,0.991,0.0866,,
A2,5,,,,,,,,1440,983
A1,5,1,160,-126.4327386,0.00525,674,0.893,0.1532,,
A1,5,2,320,-53.24518992,0.00543,534,0.893,0.3782,,
A1,5,3,480,-81.74653854,0.00543,1022,0.931,0.3034,,
A1,5,4,640,-82.57679857,0.00886,725,0.84,0.864,,
A1,5,5,800,77.1011420438761,0.00543,1022,0.931,0.3034,,
A1,5,6,960,-58.26874762,0.00856,454,0.963,0.3774,,
A1,5,7,1120,95.5666210532281,0.00076,578,0.993,0.0807,,
A1,5,8,1280,149.142427164659,0.00908,800,0.989,0.8426,,
A1,5,9,1440,193.613635575409,0.00076,578,0.993,0.0807,,
A1,5,10,1600,216.187762962982,0.0041,989,0.99,0.6919,,
A1,5,,,,,,,,1600,911
A2,6,1,160,-86.33538287,0.00528,840,0.886,0.3533,,
A2,6,2,320,-29.45493132,0.00581,742,0.896,0.8244,,
A2,6,3,480,-48.62245061,0.00766,303,0.925,0.3355,,
A2,6,4,640,137.676997962769,0.00191,841,0.991,0.462,,
A2,6,5,800,152.924463046189,0.00892,315,0.993,0.5126,,
A2,6,6,960,164.825983326231,0.00892,315,0.993,0.5126,,
A2,6,7,1120,265.009098049324,0.00921,385,0.999,0.3755,,
A2,6,,,,,,,,1120,682
A1,6,1,160,-142.400354,0.00759,821,0.853,0.4054,,
A1,6,2,320,-46.9018729,0.00782,1018,0.863,0.1516,,
A1,6,3,480,-45.51874333,0.0071,707,0.96,0.3907,,
A1,6,4,640,-67.07521719,0.00563,300,0.966,0.2982,,
A1,6,5,800,75.3205269673012,0.00243,874,0.994,0.5849,,
A1,6,6,960,166.474217618784,0.0035,821,0.984,0.013,,
A1,6,7,1120,212.694332797459,0.00171,781,0.985,0.4695,,
A1,6,,,,,,,,1120,517
A2,7,1,160,-43.02747535,0.00467,236,0.877,0.4541,,
A2,7,2,320,-24.29871151,0.00549,446,0.967,0.1563,,
A2,7,3,480,87.3874358547202,0.00485,45,0.962,0.9462,,
A2,7,4,640,115.415473427029,0.00144,216,0.981,0.8158,,
A2,7,5,800,139.1856779,0.00056,637,0.994,0.5029,,
A2,7,6,960,272.440268691405,0.00494,140,0.991,0.0427,,
A2,7,,,,,,,,960,484
A1,7,1,160,-54.08882088,0.00454,496,0.925,0.6399,,
A1,7,2,320,-32.03813775,0.00674,519,0.988,0.8609,,
A1,7,3,480,-70.19736316,0.0005,648,0.972,0.8841,,
A1,7,4,640,-54.21754646,0.00606,637,0.996,0.6158,,
A1,7,5,800,-66.21342937,0.00789,574,0.903,0.992,,
A1,7,6,960,-65.97524134,0.00838,246,0.983,0.2658,,
A1,7,7,1120,155.675717945681,0.00838,246,0.983,0.2658,,
A1,7,8,1280,137.885941007106,0.0075,636,0.977,0.6378,,
A1,7,9,1440,267.606854297048,0.00916,305,0.989,0.0611,,
A1,7,,,,,,,,1440,625
A2,8,1,160,-104.9460484,0.00193,740,0.897,0.909,,
A2,8,2,320,-78.8975038,0.00971,636,0.955,0.1698,,
A2,8,3,480,-13.29073787,0.00075,947,0.936,0.8772,,
A2,8,4,640,53.5691194390384,0.00287,614,0.995,0.5635,,
A2,8,5,800,153.377344770436,0.00803,351,0.978,0.2229,,
A2,8,6,960,231.593443170865,0.00803,351,0.978,0.2229,,
A2,8,,,,,,,,960,578
A1,8,1,160,-54.00715941,0.00408,912,0.985,0.5372,,
A1,8,2,320,-99.85394017,0.00621,986,0.978,0.4384,,
A1,8,3,480,92.5715405500843,0.00777,874,0.991,0.233,,
A1,8,4,640,237.020604835016,0.00967,713,0.986,0.8526,,
A1,8,,,,,,,,640,414
A2,9,1,160,-138.2046755,0.00385,669,0.936,0.0627,,
A2,9,2,320,-58.60773432,0.00417,885,0.884,0.3308,,
A2,9,3,480,5.21149645085853,0.00863,722,0.815,0.715,,
A2,9,4,640,-10.16001372,0.00891,893,0.989,0.1199,,
A2,9,5,800,118.533000995169,0.00515,790,0.983,0.8186,,
A2,9,6,960,137.3735068883,0.00515,144,0.992,0.3414,,
A2,9,7,1120,124.380689218006,0.00566,649,0.988,0.1779,,
A2,9,8,1280,194.360072760442,0.00566,649,0.988,0.1779,,
A2,9,9,1440,257.602453721329,0.00774,87,0.991,0.6238,,
A2,9,,,,,,,,1440,721
A1,9,1,160,-42.14055288,0.00887,308,0.948,0.639,,
A1,9,2,320,-46.89299356,0.00887,308,0.948,0.639,,
A1,9,3,480,-94.65587385,0.00887,308,0.948,0.639,,
A1,9,4,640,-84.82778278,0.00016,507,0.949,0.9901,,
A1,9,5,800,72.70079776,0.0097,799,0.996,0.1953,,
A1,9,6,960,155.271719396028,0.00896,987,0.981,0.3467,,
A1,9,7,1120,245.511371897096,0.00856,951,0.994,0.6009,,
A1,9,,,,,,,,1120,649
A2,10,1,160,-65.49547272,0.00344,292,0.844,0.9021,,
A2,10,2,320,-43.03206204,0.0097,957,0.942,0.0228,,
A2,10,3,480,-43.49941493,0.00131,259,0.986,0.2527,,
A2,10,4,640,-18.15691012,0.00131,259,0.986,0.2527,,
A2,10,5,800,66.7353099104155,0.00367,787,0.978,0.3777,,
A2,10,6,960,207.876932375603,0.00367,787,0.978,0.3777,,
A2,10,,,,,,,,960,628
A2,11,1,160,-51.10650693,0.00978,994,0.923,0.0699,,
A2,11,2,320,-77.36725596,0.00816,692,0.899,0.9883,,
A2,11,3,480,-49.96727906,0.00591,1009,0.914,0.9168,,
A2,11,4,640,10.4519527958982,0.00816,692,0.899,0.9883,,
A2,11,5,800,13.437935230785,0.00816,692,0.899,0.9883,,
A2,11,6,960,-43.32377896,0.0098,935,0.819,0.1611,,
A2,11,7,1120,-65.36876339,0.00039,998,0.911,0.5874,,
A2,11,8,1280,71.00899951,0.00511,976,0.993,0.2311,,
A2,11,9,1440,185.059158120597,0.00116,942,0.981,0.8202,,
A2,11,10,1600,139.201439997306,0.00511,976,0.993,0.2311,,
A2,11,11,1760,239.792249624609,0.00471,719,0.986,0.024,,
A2,11,,,,,,,,1760,755
A1,10,1,160,-118.2521012,0.00806,913,0.936,0.8545,,
A1,10,2,320,-62.35288374,0.00804,577,0.854,0.2498,,
A1,10,3,480,165.469189415999,0.00744,795,0.985,0.1875,,
A1,10,4,640,1.25964846230862,0.00129,871,0.832,0.3177,,
A1,10,5,800,19.9415775816172,0.00129,871,0.832,0.3177,,
A1,10,6,960,112.504462129441,0.01,1016,0.916,0.7812,,
A1,10,7,1120,-48.41311019,0.00133,1010,0.954,0.0902,,
A1,10,8,1280,-12.36936308,0.00129,871,0.832,0.3177,,
A1,10,9,1440,171.633689341908,0.00918,701,0.98,0.9884,,
A1,10,10,1600,2.08680402872567,0.00918,701,0.98,0.9884,,
A1,10,11,1760,23.9621199083944,0.00918,701,0.98,0.9884,,
A1,10,12,1920,144.433352484339,0.0092,885,0.98,0.406,,
A1,10,13,2080,216.191811920558,0.0092,885,0.98,0.406,,
A1,10,,,,,,,,2080,1245
A2,12,1,160,-134.8174648,0.00187,360,0.949,0.2485,,
A2,12,2,320,-116.5548507,0.00452,585,0.893,0.1756,,
A2,12,3,480,-89.21824643,0.00048,697,0.938,0.1062,,
A2,12,4,640,-92.3227227,0.00956,661,0.941,0.9209,,
A2,12,5,800,143.061078239224,0.00444,667,0.997,0.3105,,
A2,12,6,960,174.902460778452,0.00444,667,0.997,0.3105,,
A2,12,7,1120,213.982901308052,0.00444,667,0.997,0.3105,,
A2,12,,,,,,,,1120,858
A1,11,1,160,-147.8456452,0.00431,272,0.811,0.9959,,
A1,11,2,320,-86.63439727,0.00011,846,0.963,0.9025,,
A1,11,3,480,-105.8397606,0.00673,863,0.909,0.8386,,
A1,11,4,640,-126.3853347,0.00874,1002,0.883,0.7836,,
A1,11,5,800,-99.99681152,0.00717,906,0.898,0.9732,,
A1,11,6,960,-20.80013805,0.00748,826,0.917,0.94,,
A1,11,7,1120,-104.0158057,0.00748,826,0.917,0.94,,
A1,11,8,1280,-91.25690498,0.00989,193,0.982,0.9859,,
A1,11,9,1440,-43.20815645,0.00445,203,0.956,0.9487,,
A1,11,10,1600,4.98912860317883,0.00999,496,0.889,0.7407,,
A1,11,11,1760,-65.4571694,0.00445,203,0.956,0.9487,,
A1,11,12,1920,-34.54991678,0.00688,80,0.886,0.8674,,
A1,11,13,2080,29.3162008869418,0.00616,135,0.976,0.9751,,
A1,11,14,2240,-19.2961775,0.00616,135,0.976,0.9751,,
A1,11,15,2400,-69.91378855,0.00616,135,0.976,0.9751,,
A1,11,16,2560,-2.498952712,0.00953,915,0.974,0.3609,,
A1,11,17,2720,63.0054699548016,0.00938,1013,0.992,0.2434,,
A1,11,18,2880,113.098684416422,0.00049,277,0.994,0.9363,,
A1,11,19,3040,106.22256974838,0.00049,277,0.994,0.9363,,
A1,11,20,3200,210.683964041115,0.00049,277,0.994,0.9363,,
A1,11,,,,,,,,3200,1175
A2,13,1,160,-131.7874487,0.00352,284,0.859,0.0624,,
A2,13,2,320,3.53762608768629,0.00072,671,0.99,0.3822,,
A2,13,3,480,-70.09894621,0.00677,93,0.817,0.2602,,
A2,13,4,640,116.114479304601,0.0078,909,0.982,0.4007,,
A2,13,5,800,176.808409575575,0.0078,909,0.982,0.4007,,
A2,13,6,960,202.719966487596,0.0078,909,0.982,0.4007,,
A2,13,,,,,,,,960,626
A1,12,1,160,21.8387598220964,0.00361,965,0.857,0.8793,,
A1,12,2,320,-28.23579319,0.00995,164,0.904,0.7414,,
A1,12,3,480,54.63361783,0.00831,272,0.978,0.3395,,
A1,12,4,640,80.0267395881866,0.00831,272,0.978,0.3395,,
A1,12,5,800,165.704913111762,0.00982,288,0.973,0.2843,,
A1,12,6,960,98.4260309167415,0.00643,701,0.997,0.5535,,
A1,12,7,1120,177.159144755638,0.00053,248,0.984,0.358,,
A1,12,8,1280,221.632852393832,0.00669,474,0.98,0.0404,,
A1,12,,,,,,,,1280,642
