experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A1,1,1,160,-65.96530674,0.00688,22,0.898,0.1073,,
A1,1,2,320,-50.40607229,0.00688,22,0.898,0.1073,,
A1,1,3,480,47.7034045570012,0.00908,373,0.931,0.9307,,
A1,1,4,640,-50.54068806,0.00545,711,0.954,0.2018,,
A1,1,5,800,-3.136980717,0.00151,981,0.827,0.9129,,
A1,1,6,960,-65.76495488,0.00545,711,0.954,0.2018,,
A1,1,7,1120,-20.8152833,0.00992,973,0.97,0.4472,,
A1,1,8,1280,1.70493690000753,0.00992,973,0.97,0.4472,,
A1,1,9,1440,71.2146126426057,0.00559,916,0.977,0.3503,,
A1,1,10,1600,110.977426215172,0.00559,916,0.977,0.3503,,
A1,1,11,1760,214.935868111639,0.00559,916,0.977,0.3503,,
A1,1,,,,,,,,1760,1111
A2,1,1,160,-96.8975829,0.00873,424,0.91,0.4492,,
A2,1,2,320,-69.91239712,0.0045,985,0.892,0.247,,
A2,1,3,480,59.669631245592,0.00116,867,0.821,0.0412,,
A2,1,4,640,-23.88039008,0.00729,454,0.808,0.197,,
A2,1,5,800,-17.46672012,0.00907,874,0.959,0.2157,,
A2,1,6,960,42.8838173504654,0.00329,492,0.994,0.0174,,
A2,1,7,1120,6.53876453132823,0.00329,492,0.994,0.0174,,
A2,1,8,1280,64.2445505977409,0.00386,711,0.989,0.6581,,
A2,1,9,1440,121.974579045873,0.00122,554,0.981,0.9657,,
A2,1,10,1600,208.169345129942,0.00962,484,0.989,0.8443,,
A2,1,,,,,,,,1600,1112
A2,2,1,160,32.7350911779744,0.00432,793,0.901,0.2161,,
A2,2,2,320,-59.30086519,0.00159,947,0.852,0.0444,,
A2,2,3,480,-92.97700579,0.00432,793,0.901,0.2161,,
A2,2,4,640,-9.985516822,0.00432,793,0.901,0.2161,,
A2,2,5,800,122.973508979818,0.00411,727,0.993,0.1358,,
A2,2,6,960,190.559466130451,0.00066,1001,0.987,0.138,,
A2,2,7,1120,262.17521017249,0.00411,727,0.993,0.1358,,
A2,2,,,,,,,,1120,836
A1,2,1,160,-129.0685855,0.00224,640,0.804,0.0522,,
A1,2,2,320,-130.5210721,0.00435,428,0.892,0.6771,,
A1,2,3,480,-90.86617066,0.00765,967,0.893,0.4038,,
A1,2,4,640,-70.59388679,0.00765,967,0.893,0.4038,,
A1,2,5,800,-11.40776087,0.00095,244,0.98,0.9829,,
A1,2,6,960,18.461119098934,0.00802,384,0.997,0.665,,
A1,2,7,1120,-46.90164297,0.00989,992,0.881,0.6007,,
A1,2,8,1280,143.831420430671,0.00999,979,0.847,0.2131,,
A1,2,9,1440,-42.83003817,0.00989,992,0.881,0.6007,,
A1,2,10,1600,-16.69275696,0.00999,216,0.996,0.0795,,
A1,2,11,1760,236.954562034077,0.00999,216,0.996,0.0795,,
A1,2,,,,,,,,1760,980
A2,3,1,160,-92.07867503,0.00334,544,0.819,0.3828,,
A2,3,2,320,-57.76439986,0.00334,544,0.819,0.3828,,
A2,3,3,480,8.01365641647385,0.00859,640,0.893,0.3069,,
A2,3,4,640,117.052707062921,0.00934,760,0.998,0.392,,
A2,3,5,800,220.545630038568,0.00969,713,0.97,0.3908,,
A2,3,,,,,,,,800,504
A1,3,1,160,-161.3728198,0.00424,670,0.882,0.3934,,
A1,3,2,320,-77.77447662,0.00905,97,0.913,0.1211,,
A1,3,3,480,-38.3019532,0.00065,758,0.894,0.5183,,
A1,3,4,640,-65.18471961,0.00661,905,0.963,0.4833,,
A1,3,5,800,12.9751610513115,0.00118,777,0.818,0.0883,,
A1,3,6,960,119.84737720466,0.00862,980,0.99,0.0376,,
A1,3,7,1120,198.088194838143,0.00862,980,0.99,0.0376,,
A1,3,8,1280,247.036464763483,0.0006,692,0.996,0.1449,,
A1,3,,,,,,,,1280,890
A2,4,1,160,-63.3212,0.00027,335,0.889,0.4459,,
A2,4,2,320,-2.158901666,0.0013,243,0.945,0.3743,,
A2,4,3,480,-53.92342978,0.00222,944,0.967,0.0106,,
A2,4,4,640,-1.814697711,0.00748,221,0.806,0.2271,,
A2,4,5,800,14.4636878120814,0.00633,371,0.999,0.8986,,
A2,4,6,960,149.642278093044,0.00916,933,0.999,0.2417,,
A2,4,7,1120,246.919628938914,0.00916,933,0.999,0.2417,,
A2,4,,,,,,,,1120,603
A1,4,1,160,-132.6618645,0.00532,436,0.86,0.4349,,
A1,4,2,320,-59.99611926,0.00977,956,0.936,0.9002,,
A1,4,3,480,-79.11328208,0.00163,809,0.823,0.7013,,
A1,4,4,640,-59.17829154,0.00543,941,0.854,0.8416,,
A1,4,5,800,-3.557766749,0.00849,739,0.996,0.1892,,
A1,4,6,960,11.8252268306724,0.00849,739,0.996,0.1892,,
A1,4,7,1120,109.402069561599,0.00355,735,0.974,0.6236,,
A1,4,8,1280,227.982500298632,0.00156,1013,0.923,0.4987,,
A1,4,,,,,,,,1280,589
A2,5,1,160,-57.15846867,0.00905,238,0.921,0.2398,,
A2,5,2,320,-33.92489044,0.00158,832,0.814,0.226,,
A2,5,3,480,-54.98982541,0.00158,832,0.814,0.226,,
A2,5,4,640,7.8065123232847,0.00158,832,0.814,0.226,,
A2,5,5,800,43.2017639882955,0.00507,591,0.984,0.3497,,
A2,5,6,960,142.712863673126,0.00507,591,0.984,0.3497,,
A2,5,7,1120,218.3080803477,0.00948,773,0.982,0.1069,,
A2,5,,,,,,,,1120,755
A1,5,1,160,-25.21316884,0.00698,216,0.972,0.5069,,
A1,5,2,320,-3.220429892,0.00986,294,0.817,0.9983,,
A1,5,3,480,-89.86599369,0.00816,992,0.945,0.9243,,
A1,5,4,640,-33.15673522,0.00144,1014,0.996,0.3127,,
A1,5,5,800,153.861079968732,0.00501,999,0.993,0.0978,,
A1,5,6,960,226.468363623629,0.00501,999,0.993,0.0978,,
A1,5,,,,,,,,960,581
A2,6,1,160,-38.12572448,0.00108,410,0.858,0.5039,,
A2,6,2,320,-105.8105512,0.00048,493,0.937,0.6523,,
A2,6,3,480,-111.3590189,0.00061,347,0.83,0.9329,,
A2,6,4,640,-69.34675712,0.00585,958,0.984,0.0392,,
A2,6,5,800,-7.420657597,0.00585,958,0.984,0.0392,,
A2,6,6,960,99.1599580538576,0.00585,958,0.984,0.0392,,
A2,6,7,1120,180.240699758796,0.00637,588,0.994,0.2444,,
A2,6,8,1280,247.975030111153,0.00637,588,0.994,0.2444,,
A2,6,,,,,,,,1280,781
A1,6,1,160,-117.8369474,0.00594,139,0.815,0.4879,,
A1,6,2,320,-114.9070112,0.00085,178,0.958,0.7209,,
A1,6,3,480,-26.83087003,0.00965,245,0.842,0.0125,,
A1,6,4,640,34.0533314328183,0.00965,245,0.842,0.0125,,
A1,6,5,800,69.828115004787,0.00783,617,0.981,0.1792,,
A1,6,6,960,65.0519339331589,0.00783,617,0.981,0.1792,,
A1,6,7,1120,184.197182415302,0.00396,973,0.993,0.95,,
A1,6,8,1280,220.6255209,0.00396,973,0.993,0.95,,
A1,6,,,,,,,,1280,958
A2,7,1,160,-134.5436127,0.00914,404,0.857,0.6777,,
A2,7,2,320,-37.80045732,0.0018,1008,0.855,0.288,,
A2,7,3,480,-7.857966679,0.00506,733,0.998,0.3873,,
A2,7,4,640,-11.82339139,0.00506,733,0.998,0.3873,,
A2,7,5,800,75.096471063839,0.00687,1023,0.981,0.7187,,
A2,7,6,960,8.38573671467858,0.00866,72,0.971,0.9063,,
A2,7,7,1120,80.873525520812,0.00958,393,0.989,0.4017,,
A2,7,8,1280,188.442631513613,0.00918,831,0.995,0.4199,,
A2,7,9,1440,174.843481748076,0.00958,393,0.989,0.4017,,
A2,7,10,1600,222.117056426744,0.00728,920,0.977,0.3586,,
A2,7,,,,,,,,1600,878
A1,7,1,160,-116.7893861,0.00333,900,0.905,0.1196,,
A1,7,2,320,30.6804647137035,0.00471,816,0.872,0.2375,,
A1,7,3,480,5.67588723809072,0.00984,275,0.81,0.4351,,
A1,7,4,640,-67.08687598,0.00904,949,0.853,0.5004,,
A1,7,5,800,-86.09690896,0.00535,1005,0.923,0.9999,,
A1,7,6,960,-27.35429746,0.00797,862,0.81,0.0339,,
A1,7,7,1120,69.2291745600707,0.0097,51,0.998,0.0625,,
A1,7,8,1280,51.6099114745992,0.00799,912,0.971,0.6029,,
A1,7,9,1440,138.884696042613,0.0097,51,0.998,0.0625,,
A1,7,10,1600,80.9821702829121,0.0097,51,0.998,0.0625,,
A1,7,11,1760,254.307181583375,0.00674,985,0.99,0.3078,,
A1,7,,,,,,,,1760,1078
A2,8,1,160,-115.2201292,0.00904,473,0.863,0.4717,,
A2,8,2,320,-63.45082206,0.00904,473,0.863,0.4717,,
A2,8,3,480,72.60634235,0.00445,198,0.995,0.1555,,
A2,8,4,640,79.786051846554,0.00445,198,0.995,0.1555,,
A2,8,5,800,18.1584962410386,0.00445,198,0.995,0.1555,,
A2,8,6,960,59.8507245243013,0.00528,869,0.94,0.6436,,
A2,8,7,1120,22.4567501773265,0.00859,570,0.979,0.2232,,
A2,8,8,1280,-59.14538801,0.00505,529,0.99,0.6938,,
A2,8,9,1440,21.2657804961007,0.00347,1000,0.998,0.9394,,
A2,8,10,1600,16.2914779832661,0.00995,732,0.995,0.8449,,
A2,8,11,1760,28.1092915682096,0.00541,285,0.994,0.878,,
A2,8,12,1920,-23.48575442,0.00754,431,0.994,0.7111,,
A2,8,13,2080,15.8119146071539,0.00805,818,0.986,0.8616,,
A2,8,14,2240,-40.73378836,0.00562,668,0.977,0.839,,
A2,8,15,2400,-16.35825887,0.0025,527,0.979,0.9284,,
A2,8,16,2560,-64.48692346,0.00562,668,0.977,0.839,,
A2,8,17,2720,-20.63895793,0.00562,668,0.977,0.839,,
A2,8,18,2880,13.3237165085446,0.00762,888,0.965,0.6069,,
A2,8,19,3040,-37.1008999,0.00029,1016,0.954,0.9697,,
A2,8,20,3200,57.9684135893555,0.00913,857,0.953,0.9531,,
A2,8,21,3360,8.26555282096357,0.00933,763,0.921,0.9969,,
A2,8,22,3520,5.40643117682486,0.00713,695,0.988,0.9989,,
A2,8,23,3680,123.573179018972,0.00359,996,0.998,0.1,,
A2,8,24,3840,154.8951885,0.00274,939,0.975,0.87,,
A2,8,25,4000,205.177957279897,0.00417,885,0.985,0.9633,,
A2,8,,,,,,,,4000,1369
A1,8,1,160,-15.14533703,0.00796,265,0.889,0.3137,,
A1,8,2,320,-1.250227747,0.00789,793,0.831,0.0129,,
A1,8,3,480,-47.61222539,0.00331,1002,0.949,0.9855,,
A1,8,4,640,-58.8259095,0.00944,647,0.9,0.2069,,
A1,8,5,800,-34.57616158,0.00407,843,0.991,0.4214,,
A1,8,6,960,156.385044471196,0.00985,848,0.998,0.5475,,
A1,8,7,1120,213.711075685159,0.00985,848,0.998,0.5475,,
A1,8,,,,,,,,1120,764
A2,9,1,160,-113.7077707,0.00668,17,0.843,0.8389,,
A2,9,2,320,-34.43778507,0.009,547,0.867,0.1896,,
A2,9,3,480,23.82067741,0.00954,643,0.969,0.439,,
A2,9,4,640,-35.32932499,0.00627,823,0.998,0.6051,,
A2,9,5,800,159.482603702429,0.00981,861,0.991,0.0936,,
A2,9,6,960,270.618474994308,0.00981,861,0.991,0.0936,,
A2,9,,,,,,,,960,557
A2,10,1,160,-17.43229175,0.00682,120,0.903,0.3012,,
A2,10,2,320,-36.55577399,0.00941,902,0.853,0.1536,,
A2,10,3,480,-28.86928858,0.0049,329,0.947,0.6392,,
A2,10,4,640,-9.000328311,0.00797,58,0.984,0.2087,,
A2,10,5,800,209.482885737218,0.00797,58,0.984,0.2087,,
A2,10,,,,,,,,800,377
A1,9,1,160,-138.5979499,0.00317,474,0.863,0.6124,,
A1,9,2,320,35.4794182635886,0.0056,1009,0.952,0.2406,,
A1,9,3,480,-83.99968396,0.00336,967,0.859,0.8774,,
A1,9,4,640,-81.11069344,0.0056,1009,0.952,0.2406,,
A1,9,5,800,-60.41333698,0.0056,1009,0.952,0.2406,,
A1,9,6,960,-92.85116815,0.00999,876,0.95,0.8529,,
A1,9,7,1120,-86.50759982,0.00415,951,0.917,0.3686,,
A1,9,8,1280,123.439314459591,0.0042,859,0.981,0.1812,,
A1,9,9,1440,223.404535868898,0.00754,643,0.979,0.5178,,
A1,9,,,,,,,,1440,870
A2,11,1,160,-44.08676874,0.00132,682,0.806,0.4095,,
A2,11,2,320,-64.50678806,0.00656,150,0.977,0.1852,,
A2,11,3,480,148.401019069351,0.00656,150,0.977,0.1852,,
A2,11,4,640,202.046570688345,0.00904,640,0.986,0.2905,,
A2,11,,,,,,,,640,468
A2,12,1,160,-54.48582362,0.00485,364,0.907,0.8453,,
A2,12,2,320,-11.99865163,0.00485,364,0.907,0.8453,,
A2,12,3,480,-89.97419294,0.00185,307,0.968,0.7837,,
A2,12,4,640,-39.28186207,0.00928,889,0.996,0.4386,,
A2,12,5,800,142.495095357619,0.00928,889,0.996,0.4386,,
A2,12,6,960,135.68945513913,0.00701,838,0.991,0.5565,,
A2,12,7,1120,124.738516981739,0.00928,889,0.996,0.4386,,
A2,12,8,1280,246.935833432378,0.00928,889,0.996,0.4386,,
A2,12,,,,,,,,1280,622
A1,10,1,160,-8.716148952,0.00018,748,0.943,0.3892,,
A1,10,2,320,-43.00273544,0.00216,736,0.924,0.4423,,
A1,10,3,480,69.4671752869104,0.00897,559,0.99,0.1825,,
A1,10,4,640,61.0689071344757,0.00897,559,0.99,0.1825,,
A1,10,5,800,132.308799767386,0.00897,559,0.99,0.1825,,
A1,10,6,960,139.612765296991,0.00464,1014,0.978,0.6821,,
A1,10,7,1120,49.5149279785375,0.00464,1014,0.978,0.6821,,
A1,10,8,1280,114.703552063532,0.00643,792,0.962,0.5733,,
A1,10,9,1440,12.1526523538961,0.00214,993,0.966,0.0318,,
A1,10,10,1600,37.70092606,0.00214,993,0.966,0.0318,,
A1,10,11,1760,188.478452412248,0.00731,594,0.993,0.8348,,
A1,10,12,1920,-27.34050129,0.00214,993,0.966,0.0318,,
A1,10,13,2080,71.142549289613,0.00214,993,0.966,0.0318,,
A1,10,14,2240,61.5501191535712,0.00754,1010,0.989,0.2778,,
A1,10,15,2400,178.089998103117,0.00937,417,0.996,0.4566,,
A1,10,16,2560,231.517001859561,0.00227,768,0.996,0.1356,,
A1,10,,,,,,,,2560,1360
A2,13,1,160,1.54726171689497,0.00606,370,0.909,0.0285,,
A2,13,2,320,-41.97637531,0.00129,725,0.91,0.877,,
A2,13,3,480,-25.48419598,0.00345,473,0.985,0.0322,,
A2,13,4,640,84.3794782929452,0.00895,228,0.995,0.4391,,
A2,13,5,800,182.704606430049,0.00986,941,0.997,0.3742,,
A2,13,6,960,189.5581756402,0.00868,210,0.99,0.2914,,
A2,13,7,1120,249.150635087762,0.00641,802,0.992,0.0341,,
A2,13,,,,,,,,1120,835
A1,11,1,160,-92.53734892,0.00233,907,0.946,0.7363,,
A1,11,2,320,-5.679285399,0.00459,546,0.9,0.9492,,
A1,11,3,480,-103.3704759,0.00737,749,0.88,0.9624,,
A1,11,4,640,29.9474571184382,0.0058,473,0.965,0.3519,,
A1,11,5,800,163.2917243694,0.00851,990,0.999,0.9015,,
A1,11,6,960,134.3536711,0.00784,638,0.999,0.5497,,
A1,11,7,1120,233.982786195724,0.00822,829,0.991,0.1409,,
A1,11,,,,,,,,1120,545
A1,12,1,160,-5.009319006,0.00056,938,0.95,0.9286,,
A1,12,2,320,-73.16853047,0.00659,995,0.979,0.4868,,
A1,12,3,480,-5.795563297,0.00271,69,0.866,0.9252,,
A1,12,4,640,63.9653970113247,0.00939,915,0.994,0.1967,,
A1,12,5,800,151.775225939556,0.00939,915,0.994,0.1967,,
A1,12,6,960,220.4175547,0.01,659,0.98,0.3343,,
A1,12,,,,,,,,960,498
A2,14,1,160,-102.8288099,0.00926,143,0.893,0.5973,,
A2,14,2,320,-54.78959828,0.00776,641,0.997,0.038,,
A2,14,3,480,80.6505509,0.00776,641,0.997,0.038,,
A2,14,4,640,129.643349740608,0.00776,641,0.997,0.038,,
A2,14,5,800,206.990610027163,0.00461,716,0.994,0.2645,,
A2,14,,,,,,,,800,572
A1,13,1,160,-67.42543753,0.00145,209,0.97,0.1065,,
A1,13,2,320,-105.3908943,0.00145,209,0.97,0.1065,,
A1,13,3,480,125.920337568752,0.00492,996,0.947,0.0634,,
A1,13,4,640,63.4766379953,0.00604,995,0.992,0.3796,,
A1,13,5,800,250.714424756331,0.00877,369,0.997,0.2592,,
A1,13,,,,,,,,800,648
A2,15,1,160,-94.37367395,0.00493,324,0.974,0.5807,,
A2,15,2,320,-89.8181913,0.00924,431,0.943,0.8676,,
A2,15,3,480,-41.78368465,0.0097,262,0.986,0.3557,,
A2,15,4,640,81.2295972157745,0.0097,262,0.986,0.3557,,
A2,15,5,800,43.4649710279524,0.0097,262,0.986,0.3557,,
A2,15,6,960,135.454137503944,0.0097,262,0.986,0.3557,,
A2,15,7,1120,203.716612100974,0.0038,989,0.992,0.2704,,
A2,15,,,,,,,,1120,739
A2,16,1,160,-141.4106761,0.0069,231,0.821,0.5277,,
A2,16,2,320,53.9199623016726,0.0069,231,0.821,0.5277,,
A2,16,3,480,51.4713404030812,0.0069,231,0.821,0.5277,,
A2,16,4,640,36.3772635020016,0.00583,1014,0.988,0.4316,,
A2,16,5,800,209.720630970904,0.00917,745,0.998,0.3835,,
A2,16,,,,,,,,800,387
A1,14,1,160,-174.6919263,0.00957,887,0.958,0.315,,
A1,14,2,320,-34.61295834,0.00632,599,0.81,0.2097,,
A1,14,3,480,-68.37271531,0.00844,342,0.989,0.4782,,
A1,14,4,640,32.8934730378129,0.00906,464,0.972,0.2917,,
A1,14,5,800,138.275698123668,0.00844,342,0.989,0.4782,,
A1,14,6,960,155.574568489922,0.00774,989,0.982,0.8867,,
A1,14,7,1120,226.862588354703,0.00844,342,0.989,0.4782,,
A1,14,,,,,,,,1120,672
A1,15,1,160,-52.70875767,0.00824,722,0.81,0.1624,,
A1,15,2,320,-109.6941522,0.0029,442,0.886,0.5312,,
A1,15,3,480,-105.2207983,0.00924,937,0.961,0.3683,,
A1,15,4,640,-6.674554039,0.00027,553,0.98,0.3857,,
A1,15,5,800,180.020440625496,0.00663,818,0.992,0.0216,,
A1,15,6,960,198.656688676326,0.00663,818,0.992,0.0216,,
A1,15,7,1120,261.261367227698,0.00029,150,0.994,0.8735,,
A1,15,,,,,,,,1120,630
A2,17,1,160,-179.304421,0.00916,127,0.845,0.5612,,
A2,17,2,320,148.123289231878,0.00869,33,0.828,0.1533,,
A2,17,3,480,47.3776278510635,0.00722,877,0.815,0.1133,,
A2,17,4,640,-62.50255416,0.00533,835,0.934,0.0502,,
A2,17,5,800,21.5417586891948,0.00796,270,0.997,0.0498,,
A2,17,6,960,96.8443634760541,0.00796,270,0.997,0.0498,,
A2,17,7,1120,105.051277979948,0.00924,447,0.94,0.7668,,
A2,17,8,1280,138.135142139262,0.00946,518,0.958,0.6625,,
