experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A3,1,1,160,-76.44194598,0.00989,561,0.915,0.8384,,
A3,1,2,320,3.26496978609045,0.0003,870,0.902,0.4974,,
A3,1,3,480,-77.6956815,0.00148,83,0.92,0.5072,,
A3,1,4,640,-51.11162913,0.00452,528,0.995,0.9156,,
A3,1,5,800,95.2007201300763,0.00952,661,0.985,0.3208,,
A3,1,6,960,218.035859632901,0.00801,745,0.976,0.2322,,
A3,1,,,,,,,,960,1401
A1,1,1,160,-81.55160066,0.00143,160,0.967,0.0987,,
A1,1,2,320,-89.01605548,0.00143,160,0.967,0.0987,,
A1,1,3,480,-76.6983389,0.00169,819,0.897,0.1272,,
A1,1,4,640,-72.59169963,0.00565,285,0.979,0.0402,,
A1,1,5,800,103.373709439789,0.00809,376,0.996,0.0196,,
A1,1,6,960,239.160050899954,0.00809,376,0.996,0.0196,,
A1,1,,,,,,,,960,1811
A2,1,1,160,-16.58301799,0.00565,607,0.827,0.3041,,
A2,1,2,320,-13.85294054,0.00948,863,0.939,0.5354,,
A2,1,3,480,73.1416337893154,0.00948,863,0.939,0.5354,,
A2,1,4,640,81.8374128776754,0.01,896,0.937,0.5401,,
A2,1,5,800,111.653593826261,0.00071,96,0.939,0.9942,,
A2,1,6,960,115.598151280923,0.00911,988,0.958,0.7534,,
A2,1,7,1120,117.229585218482,0.00071,96,0.939,0.9942,,
A2,1,8,1280,153.061425959662,0.00151,327,0.984,0.8113,,
A2,1,9,1440,183.489822625364,0.00151,327,0.984,0.8113,,
A2,1,10,1600,175.712904331878,0.0069,997,0.985,0.3857,,
A2,1,11,1760,219.81407092934,0.00567,956,0.961,0.7104,,
A2,1,,,,,,,,1760,1860
A2,2,1,160,-178.4385616,0.0011,238,0.897,0.52,,
A2,2,2,320,-80.63113966,0.00358,963,0.867,0.3648,,
A2,2,3,480,-22.3083258,0.00222,632,0.989,0.4104,,
A2,2,4,640,-12.69259655,0.00038,843,0.896,0.9241,,
A2,2,5,800,72.3074428704922,0.00222,632,0.989,0.4104,,
A2,2,6,960,207.815321617356,0.00348,376,0.985,0.2306,,
A2,2,,,,,,,,960,1285
A1,2,1,160,-129.6021751,0.00585,92,0.837,0.4614,,
A1,2,2,320,32.446172391639,0.00044,1022,0.922,0.6804,,
A1,2,3,480,14.526863722896,0.007,892,0.98,0.1385,,
A1,2,4,640,114.354525360839,0.00938,563,0.991,0.5329,,
A1,2,5,800,105.513985221156,0.00697,596,0.999,0.9167,,
A1,2,6,960,173.441091453583,0.00152,973,0.996,0.8133,,
A1,2,7,1120,93.6290790916286,0.00633,204,0.967,0.6913,,
A1,2,8,1280,216.535626522814,0.00579,791,0.989,0.7781,,
A1,2,,,,,,,,1280,1848
A3,2,1,160,-70.56986977,0.00596,821,0.964,0.9052,,
A3,2,2,320,-20.12046004,0.00064,967,0.886,0.3361,,
A3,2,3,480,-70.06274534,0.00077,807,0.989,0.3409,,
A3,2,4,640,59.7835561821621,0.00282,802,0.804,0.3456,,
A3,2,5,800,108.219853951086,0.00589,461,0.97,0.8608,,
A3,2,6,960,28.2860204753074,0.00589,461,0.97,0.8608,,
A3,2,7,1120,23.6059989230808,0.00914,197,0.961,0.821,,
A3,2,8,1280,187.411254394975,0.00077,807,0.989,0.3409,,
A3,2,9,1440,178.510920632339,0.00612,697,0.997,0.7484,,
A3,2,10,1600,253.208510998662,0.00585,714,0.995,0.9199,,
A3,2,,,,,,,,1600,2736
A2,3,1,160,-27.28538032,0.00795,913,0.94,0.0663,,
A2,3,2,320,-33.16201284,0.00995,144,0.981,0.4961,,
A2,3,3,480,-41.77326147,0.0089,930,0.861,0.1931,,
A2,3,4,640,22.9074200824359,0.00223,939,0.95,0.1532,,
A2,3,5,800,167.802194858349,0.00295,932,0.995,0.1848,,
A2,3,6,960,220.710022327776,0.00742,951,0.995,0.0507,,
A2,3,,,,,,,,960,1765
A1,3,1,160,-99.33937879,0.00426,373,0.922,0.8756,,
A1,3,2,320,61.8475140062947,0.00676,974,0.856,0.3516,,
A1,3,3,480,7.8830111609029,0.00705,380,0.993,0.2577,,
A1,3,4,640,118.990070790006,0.00705,380,0.993,0.2577,,
A1,3,5,800,200.1048042431,0.00468,535,0.989,0.2359,,
A1,3,,,,,,,,800,1423
