experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A2,1,1,160,3.35062400260326,0.0025,331,0.977,0.9713,,
A2,1,2,320,1.55476349804042,0.00958,856,0.805,0.3124,,
A2,1,3,480,-43.71969691,0.00749,318,0.972,0.1232,,
A2,1,4,640,-39.93715665,0.00538,964,0.989,0.0825,,
A2,1,5,800,99.3735047235998,0.00538,964,0.989,0.0825,,
A2,1,6,960,51.2833389017104,0.00954,868,0.966,0.8351,,
A2,1,7,1120,230.433981534868,0.00538,964,0.989,0.0825,,
A2,1,,,,,,,,1120,718
A1,1,1,160,-16.41229156,0.00099,578,0.94,0.3741,,
A1,1,2,320,-114.8539952,0.00241,172,0.982,0.7406,,
A1,1,3,480,-73.29214064,0.00864,615,0.933,0.2765,,
A1,1,4,640,-1.923832289,0.00914,800,0.999,0.1973,,
A1,1,5,800,164.800185103732,0.00914,800,0.999,0.1973,,
A1,1,6,960,187.92330325603,0.00108,571,0.992,0.0534,,
A1,1,7,1120,175.185270235105,0.00108,571,0.992,0.0534,,
A1,1,8,1280,218.367863195833,0.00686,868,0.958,0.9056,,
A1,1,,,,,,,,1280,941
A2,2,1,160,55.8806559050638,0.00022,118,0.861,0.582,,
A2,2,2,320,67.8352674459338,0.00025,694,0.941,0.2411,,
A2,2,3,480,73.3369910372823,0.00066,766,0.982,0.2304,,
A2,2,4,640,163.942560563845,0.00066,766,0.982,0.2304,,
A2,2,5,800,264.707609759923,0.0028,158,0.993,0.2695,,
A2,2,,,,,,,,800,609
A1,2,1,160,-115.1513789,0.00553,352,0.801,0.0297,,
A1,2,2,320,24.3611541695536,0.00553,352,0.801,0.0297,,
A1,2,3,480,68.3538062593714,0.00553,352,0.801,0.0297,,
A1,2,4,640,-47.37980528,0.00553,352,0.801,0.0297,,
A1,2,5,800,58.4088188185151,0.00553,352,0.801,0.0297,,
A1,2,6,960,-24.7095562,0.00553,352,0.801,0.0297,,
A1,2,7,1120,-39.06895353,0.0096,903,0.84,0.3058,,
A1,2,8,1280,91.1023487527235,0.00399,332,0.981,0.412,,
A1,2,9,1440,218.482212850214,0.00399,332,0.981,0.412,,
A1,2,,,,,,,,1440,1042
A2,3,1,160,-187.1163928,0.00136,999,0.892,0.8097,,
A2,3,2,320,-105.8581519,0.00236,489,0.987,0.229,,
A2,3,3,480,-75.7383612,0.00762,670,0.97,0.7815,,
A2,3,4,640,-89.30655577,0.00236,489,0.987,0.229,,
A2,3,5,800,185.441423273116,0.00236,489,0.987,0.229,,
A2,3,6,960,163.86368001097,0.00236,489,0.987,0.229,,
A2,3,7,1120,216.617227719817,0.01,856,0.948,0.9117,,
A2,3,,,,,,,,1120,751
A1,3,1,160,-66.33826136,0.00294,590,0.856,0.4859,,
A1,3,2,320,-4.5672586,0.00391,388,0.932,0.3017,,
A1,3,3,480,101.700533481886,0.00476,899,0.999,0.1909,,
A1,3,4,640,192.066034053883,0.00476,899,0.999,0.1909,,
A1,3,5,800,151.033128681148,0.00476,899,0.999,0.1909,,
A1,3,6,960,242.046789064372,0.00476,899,0.999,0.1909,,
A1,3,,,,,,,,960,789
A2,4,1,160,-54.9309029,0.00058,133,0.863,0.5795,,
A2,4,2,320,-34.16775265,0.00565,922,0.906,0.256,,
A2,4,3,480,-56.9103818,0.00249,340,0.834,0.4242,,
A2,4,4,640,53.9566854290233,0.00115,818,0.985,0.4909,,
A2,4,5,800,57.7862611878374,0.0012,931,0.966,0.3066,,
A2,4,6,960,84.620855299268,0.00115,818,0.985,0.4909,,
A2,4,7,1120,178.84440881163,0.00873,612,0.989,0.4127,,
A2,4,8,1280,224.370226139983,0.00876,915,0.999,0.9,,
A2,4,,,,,,,,1280,1027
A1,4,1,160,-49.48875145,0.00711,546,0.895,0.2681,,
A1,4,2,320,-33.26697886,0.00711,546,0.895,0.2681,,
A1,4,3,480,-75.92256588,0.00606,966,0.905,0.6503,,
A1,4,4,640,-38.14648129,0.00879,491,0.816,0.5423,,
A1,4,5,800,-25.83395896,0.00625,1017,0.98,0.9741,,
A1,4,6,960,27.53531882485,0.00625,1017,0.98,0.9741,,
A1,4,7,1120,19.8336577795112,0.00567,953,0.968,0.6991,,
A1,4,8,1280,102.735924836369,0.00666,427,0.965,0.9692,,
