experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A2,1,1,160,-116.8272151,0.00989,1020,0.989,0.3625,,
A2,1,2,320,-69.4695776,0.0087,550,0.996,0.0934,,
A2,1,3,480,6.15724672571657,0.00756,695,0.829,0.315,,
A2,1,4,640,-40.72939713,0.00679,742,0.999,0.3488,,
A2,1,5,800,121.455997001482,0.00523,483,0.982,0.1388,,
A2,1,6,960,229.452631,0.00035,996,0.991,0.1992,,
A2,1,,,,,,,,960,573
A1,1,1,160,71.9585355422446,0.00947,488,0.85,0.1953,,
A1,1,2,320,-51.80425766,0.00702,1023,0.887,0.6052,,
A1,1,3,480,-8.60865158,0.00388,494,0.929,0.303,,
A1,1,4,640,0.394438813463742,0.00398,845,0.953,0.3806,,
A1,1,5,800,243.254548876701,0.00846,501,0.991,0.3127,,
A1,1,,,,,,,,800,664
A1,2,1,160,-129.9783088,0.00331,668,0.984,0.5239,,
A1,2,2,320,-83.1506435,0.00057,504,0.926,0.4778,,
A1,2,3,480,-53.81017891,0.00228,300,0.981,0.1882,,
A1,2,4,640,44.1597430633395,0.00899,323,0.995,0.11,,
A1,2,5,800,248.127309950419,0.00378,780,0.985,0.3377,,
A1,2,,,,,,,,800,585
A2,2,1,160,24.1834810290118,0.00936,353,0.874,0.1951,,
A2,2,2,320,52.5550105246829,0.00322,46,0.843,0.1949,,
A2,2,3,480,-6.368986463,0.00322,46,0.843,0.1949,,
A2,2,4,640,-42.72249861,0.00506,821,0.957,0.9974,,
A2,2,5,800,7.020954644,0.00689,166,0.974,0.8996,,
A2,2,6,960,-34.57052619,0.00823,401,0.996,0.4273,,
A2,2,7,1120,169.531075480841,0.00794,945,0.996,0.0676,,
A2,2,8,1280,185.609819076937,0.00056,254,0.994,0.6598,,
A2,2,9,1440,208.303865810757,0.00794,945,0.996,0.0676,,
A2,2,,,,,,,,1440,824
A1,3,1,160,-140.0267563,0.00137,618,0.902,0.7142,,
A1,3,2,320,-45.45081176,0.00573,543,0.984,0.6498,,
A1,3,3,480,-107.8793688,0.00722,893,0.95,0.7959,,
A1,3,4,640,-35.78457003,0.00514,342,0.875,0.8786,,
A1,3,5,800,-66.86818199,0.00952,544,0.834,0.4282,,
A1,3,6,960,-80.78828804,0.00952,544,0.834,0.4282,,
A1,3,7,1120,202.298725521719,0.00918,945,0.98,0.1322,,
A1,3,,,,,,,,1120,606
A2,3,1,160,-51.49018107,0.00085,357,0.907,0.1369,,
A2,3,2,320,-69.53640918,0.00733,827,0.822,0.1562,,
A2,3,3,480,20.4603186787248,0.00556,999,0.801,0.1326,,
A2,3,4,640,122.936109237934,0.0085,894,0.997,0.2937,,
A2,3,5,800,100.510251030901,0.00839,302,0.995,0.4118,,
A2,3,6,960,197.40532214995,0.00191,968,0.992,0.0909,,
A2,3,7,1120,201.863666484366,0.00839,302,0.995,0.4118,,
A2,3,,,,,,,,1120,808
A1,4,1,160,-53.11975828,0.00825,287,0.903,0.0392,,
A1,4,2,320,-118.4277608,0.00437,384,0.946,0.2666,,
A1,4,3,480,-66.37054859,0.00824,711,0.977,0.3278,,
A1,4,4,640,105.089944179567,0.00355,247,0.999,0.305,,
A1,4,5,800,217.029451412484,0.00355,247,0.999,0.305,,
A1,4,,,,,,,,800,697
A2,4,1,160,-68.87848563,0.00979,658,0.963,0.3434,,
A2,4,2,320,-59.22150964,0.0075,787,0.954,0.5649,,
A2,4,3,480,-59.63525571,0.0075,787,0.954,0.5649,,
A2,4,4,640,88.71182699,0.00747,1019,0.979,0.0128,,
A2,4,5,800,130.338224185204,0.0075,787,0.954,0.5649,,
A2,4,6,960,159.005761873067,0.00862,899,0.969,0.1707,,
A2,4,7,1120,116.565084337408,0.00102,856,0.985,0.4215,,
A2,4,8,1280,253.056290339501,0.00789,627,0.988,0.3857,,
A2,4,,,,,,,,1280,972
A1,5,1,160,60.8546774423604,0.00032,834,0.966,0.1757,,
A1,5,2,320,-91.2177125,0.00032,834,0.966,0.1757,,
A1,5,3,480,-69.02256026,0.00268,844,0.963,0.1018,,
A1,5,4,640,-24.99212367,0.00765,1013,0.992,0.2783,,
A1,5,5,800,89.16985289,0.00765,1013,0.992,0.2783,,
A1,5,6,960,174.514688178074,0.00797,509,0.988,0.2024,,
A1,5,7,1120,146.105844538531,0.00797,509,0.988,0.2024,,
A1,5,8,1280,178.904936460493,0.00765,1013,0.992,0.2783,,
A1,5,9,1440,209.275128771342,0.00299,221,0.983,0.0333,,
A1,5,,,,,,,,1440,1344
A2,5,1,160,3.10342464672645,0.00957,954,0.892,0.2448,,
A2,5,2,320,-13.74656927,0.00957,954,0.892,0.2448,,
A2,5,3,480,23.9559794778636,0.00674,289,0.999,0.6632,,
A2,5,4,640,115.760668673938,0.007,339,0.978,0.1896,,
A2,5,5,800,237.103110490325,0.00658,634,0.995,0.1829,,
A2,5,,,,,,,,800,731
A2,6,1,160,-98.84459783,0.0099,521,0.96,0.3594,,
A2,6,2,320,-28.38346202,0.0099,521,0.96,0.3594,,
A2,6,3,480,31.20406558,0.0074,363,0.994,0.9228,,
A2,6,4,640,90.2818718767855,0.0074,363,0.994,0.9228,,
A2,6,5,800,82.69120262,0.00972,313,0.975,0.5486,,
A2,6,6,960,241.564864917302,0.00617,770,0.99,0.2409,,
A2,6,,,,,,,,960,511
A1,6,1,160,-107.2753669,0.00884,693,0.93,0.2162,,
A1,6,2,320,78.2148947583242,0.00438,203,0.895,0.1957,,
A1,6,3,480,51.0118653539192,0.00787,64,0.974,0.1578,,
A1,6,4,640,23.4056967029198,0.00664,882,0.958,0.4669,,
A1,6,5,800,166.523877871421,0.00825,831,0.983,0.2157,,
A1,6,6,960,176.675206837201,0.00825,831,0.983,0.2157,,
A1,6,7,1120,254.7531811,0.00511,938,0.971,0.861,,
A1,6,,,,,,,,1120,1042
A2,7,1,160,-61.66679198,0.00301,404,0.942,0.1778,,
A2,7,2,320,-39.3247982,0.00812,204,0.836,0.2249,,
A2,7,3,480,41.0859425,0.00243,359,0.998,0.3311,,
A2,7,4,640,-16.1188091,0.00243,359,0.998,0.3311,,
A2,7,5,800,0.628385764300128,0.00243,359,0.998,0.3311,,
A2,7,6,960,22.1319216765433,0.00981,702,0.996,0.1356,,
A2,7,7,1120,185.926820968287,0.00798,628,0.994,0.241,,
A2,7,8,1280,169.187138087179,0.00798,628,0.994,0.241,,
A2,7,9,1440,195.301426747866,0.00513,212,0.999,0.3998,,
